"","value"
"55_02:486748",233.736138715722
"55_04:486749",234.734063144751
"55_05:486750",196.419709209263
"55_06:486751",180.008858482619
"56_01:486752",247.243165391793
"56_03:486753",254.743341628263
"56_04:486754",183.12254394532
"56_05:486755",243.965177200907
"56_06:486756",207.279706680286
"57_01:486757",186.983095547211
"57_03a:486758",202.164912204928
"57_04:486759",176.44516611729
"57_05:486760",221.24584357242
"57_06:486761",220.529849973842
"58_01:486762",188.529327219816
"58_03:486763",208.996266746342
"58_04:486764",207.25726712957
"58_05:486765",210.867619719007
"58_06a:486766",205.153216353422
"59_01:486767",215.49321838772
"59_03:486768",191.716650377563
"59_04:486769",199.841941135205
"59_05:486770",195.450428440304
"59_06:486771",254.397271131339
"6_01:486510",205.319881374528
"6_04:486513",213.785355096075
"6_05a:486514",239.465356381044
"60_01:486772",205.269074543882
"60_02:486773",178.757719107623
"60_04:486774",270.560345827302
"60_05:486775",174.490869543694
"60_06:486776",178.724052685156
"61_01:486777",192.66407273645
"61_02a:486778",263.480448445977
"7_01a:486515",192.476747701655
"7_02a:486516",187.004414499761
"7_03:486517",220.347823760809
"7_04:486518",204.017303167269
"7_06:486520",185.614990020487
"8_01:486521",197.244749761528
"8_02:486522",206.039298909609
"8_03:486523",207.229294700948
"8_04:486524",197.667174158907
"8_05:486525",205.657432950494
"8_06:486526",204.001543416693
"9_01:486527",228.0282947708
"9_03a:486528",230.528911399086
"9_04:486529",221.802905522008
"9_05:486530",203.127935829987
"9_06:486531",271.420171861791
"B01:486779",220.263966798961
"B07:486780",177.962103518416
"B12:486781",230.279605591519
"B25:486782",211.902619857264
"B26:486783",172.631220431957
"B28:486784",183.255029485306
"B30:486785",206.953083065772
"B46:486786",231.676604003561
"B50:486787",189.315672381293
"D93:486788",191.135833340613
