"","value"
"10_01:486532",2.20160229992644
"10_02:486533",2.11019934186124
"10_03a:486534",2.25219855832971
"10_05:486536",2.14488958052997
"11_01:486537",2.14928618446441
"11_02:486538",2.17546937123788
"11_04:486540",2.17040469724852
"11_05:486541",2.39363766789608
"11_06:486542",2.46878823492145
"12_01:486543",2.17864814246427
"12_04:486544",2.20559153685277
"12_05:486545",2.13086098532738
"12_06:486546",2.29295393009086
"13_01:486547",2.23549754889371
"13_03:486549",2.0111248763252
"13_04:486550",2.21338322691185
"13_05:486551",2.03197234888139
"13_06:486552",2.20120748636542
"14_01:486553",2.21753665015551
"14_03:486555",2.14431891877539
"14_04:486556",2.2577542819713
"14_06:486558",2.18560023596379
"15_03:486560",2.20150715703796
"15_04:486561",2.28953744808833
"15_05:486562",2.17495644783405
"15_06:486563",2.14919714252847
"16_02:486564",2.20794438420712
"16_03a:486565",2.27238740698094
"16_05:486567",2.14746172216381
"17_01:486568",2.22549657261535
"17_02:486569",2.14264136919481
"17_05a:486570",2.13312317721667
"18_01:486571",2.13761871459694
"18_02a:486572",2.19641169353872
"18_03a:486573",2.24748403238063
"18_04:486574",2.31954166713958
"18_05:486575",2.13028580369317
"19_05:486576",2.31458479851139
"20_01:486578",2.11184443630168
"20_03:486580",2.09885878243845
"20_04:486581",2.19285605760943
"20_06:486582",2.40356996399063
"21_05:486585",2.32511643588096
"22_02:486588",2.26510035136524
"22_06:486591",2.19428915023307
"23_03:486593",2.15657163132618
"24_02a:486594",2.26132159496307
"24_05:486596",2.05927760655631
"25_01a:486597",2.1303374617737
"25_02:486598",2.19641965783917
"25_03:486599",2.26263825076265
"25_06:486601",2.32500621119014
"26_01a:486602",2.274262894738
"26_02:486603",2.65039323576296
"26_04:486604",2.14388643931128
"26_05:486605",2.13256709841421
"26_06:486606",2.10939150307075
"27_01:486607",2.16427088582742
"27_04:486609",2.19135292388147
"27_06:486610",2.3338568392381
"28_01:486611",2.29656726422854
"28_02:486612",2.09325454423393
"28_03:486613",2.11708614005442
"28_04:486614",2.21487365741699
"28_05:486615",2.4709660857442
"29_01:486616",2.27762143626258
"29_02a:486619",2.30880505539827
"29_03:486620",2.14395051918066
"29_04:486621",2.2990583711986
"29_05:486617",2.46483667274906
"29_06:486618",2.1388863002278
"30_01a:486622",2.18557019908665
"30_02a:486623",2.2320259264686
"30_03:486624",2.4055785092131
"30_05:486625",2.1848279386957
"30_06:486626",2.15307166154604
"31_01:486627",2.27161997933903
"31_02:486628",2.23061273274521
"31_03:486629",2.18481867634207
"31_04:486630",2.28663860797879
"31_05:486631",2.3450200992038
"32_01:486633",2.12253234388468
"32_02:486634",2.11684359063443
"32_03a:486635",2.12852781239188
"32_04:486636",2.38485610548382
"33_02:486638",2.06939374242372
"33_05:486639",2.26482747668574
"33_06:486640",2.11363095610238
"34_02:486641",2.16106974791391
"34_03:486642",2.17905032281039
"34_05:486643",2.31595892837643
"34_06:486644",2.22280200140997
"35_01:486645",2.24883276469449
"35_02:486646",2.27839177253585
"35_03:486647",2.29340647362618
"35_04:486648",2.16129528901279
"36_01:486649",2.24746421679931
"36_02:486650",2.13518122906657
"36_03:486651",2.21903029813221
"36_04:486652",2.07164302075073
"36_06:486654",1.98503672160142
"37_01:486655",2.12368927965099
"37_03:486656",2.15335547007369
"37_04:486657",2.10569641469503
"37_05:486659",2.1892354968372
"38_01:486661",2.11516350413867
"38_02:486662",2.23486638623039
"38_03:486663",2.1095500865635
"38_04:486664",2.21621887696513
"38_05:486665",2.18342648011799
"38_06:486666",2.14851156029312
"39_02:486667",2.25301663831903
"39_03:486668",2.15408343948982
"39_04:486669",2.35807717689849
"39_05a:486670",2.26578472302951
"39_06:486671",2.14717491638179
"4_04:486501",2.23036229235012
"4_05:486502",2.17849429510897
"40_01:486672",2.15533277311018
"40_03:486673",2.17006354928002
"40_04:486674",2.22469611682639
"40_06:486676",2.10441747863199
"41_01:486677",2.28722266943528
"41_05:486679",2.19390856171607
"41_06:486680",2.25093529753815
"42_01:486681",1.98552974216982
"42_02a:486682",2.11304679149465
"42_03:486683",1.96371116991834
"42_05a:486684",2.20759304065136
"43_01:486686",2.28346101648171
"43_02:486687",2.13941103785313
"43_03:486688",2.24467227350467
"43_05:486689",2.0970733430274
"43_06:486690",2.37186249717513
"44_01:486691",2.11641612475039
"44_02:486692",2.04527683968019
"44_03:486693",2.28169029393274
"44_04:486694",2.35940198981842
"44_05:486695",2.12014267628829
"45_01:486696",2.15454624663747
"45_02:486697",2.13374416422269
"45_03:486698",2.22582562206934
"45_06:486700",2.50184770228376
"46_02:486701",2.17515609416638
"46_03:486702",2.10855281200321
"46_04:486703",2.00189355948511
"46_05:486704",2.34064602118131
"46_06:486705",2.28576847093075
"47_02:486706",2.23894645641892
"47_03:486707",2.11945123767981
"47_04:486708",2.13336435848927
"47_05:486709",2.05814523574701
"48_01:486710",2.26131214962804
"48_02:486711",2.02981017163654
"48_03:486712",2.40248225169371
"48_04:486713",2.21606142730611
"48_05:486714",2.1636611368938
"49_01:486716",2.06705594088004
"49_02:486717",2.33970300304487
"49_04:486719",2.07552433713013
"49_06:486721",2.12301928673932
"5_01:486503",2.24577947996361
"5_02:486504",2.28365218411185
"5_03:486505",2.31214739378228
"5_04a:486506",2.20656897407463
"5_05:486508",2.12861320293694
"5_06:486509",2.26849158287933
"50_01:486722",2.18637694946264
"50_02:486723",2.17049803239374
"50_03:486724",2.11623367237421
"50_04:486725",2.20561026534755
"50_06:486726",1.95003033656853
"51_03:486728",2.2342933114279
"51_04a:486729",2.17045288787552
"51_06:486731",2.12269245188124
"52_03:486733",2.11961352996175
"52_06:486735",2.35686236877106
"53_01:486736",2.14281552480963
"53_02:486737",2.18499035178406
"53_04:486739",2.1330432328095
"53_06:486740",2.36408862561073
"54_01:486742",2.27592859002685
"54_02:486743",2.15010624711112
"54_04:486744",2.31992049930354
"54_05:486745",2.246986314976
"55_01:486747",2.13978699557432
"55_02:486748",2.27704390621194
"55_04:486749",2.21366026754261
"55_05:486750",2.09206185338415
"56_01:486752",2.16083548771695
"56_03:486753",2.18586598622101
"56_04:486754",2.14806740300647
"56_05:486755",2.16971866638695
"56_06:486756",2.14275750588663
"57_01:486757",2.14182685410301
"57_04:486759",2.30142791298397
"57_05:486760",2.27315564987481
"58_01:486762",2.29926742426656
"58_03:486763",2.14811524359056
"58_04:486764",2.12147653752195
"58_05:486765",2.10977296925739
"58_06a:486766",2.20854932739845
"59_01:486767",2.28376100968458
"59_03:486768",2.2220821096681
"59_04:486769",2.3527437734652
"59_05:486770",2.49066441858437
"59_06:486771",2.18615949577562
"6_01:486510",2.17206913585341
"6_04:486513",2.19473726043931
"6_05a:486514",2.19202623639358
"60_01:486772",2.29188786862238
"60_02:486773",2.14186287327428
"60_04:486774",2.42809962317707
"60_05:486775",2.19293521211619
"60_06:486776",2.17395443434047
"61_01:486777",2.24061442452066
"61_02a:486778",2.31083889042828
"7_01a:486515",2.32324895767079
"7_04:486518",2.10434677681434
"7_06:486520",2.19255751061309
"8_01:486521",2.36850861452632
"8_02:486522",2.11856779123378
"8_03:486523",2.12072827995119
"8_04:486524",2.12188044260012
"8_06:486526",2.11157752805541
"9_01:486527",2.06847988565825
"9_04:486529",2.37860912831774
"9_05:486530",2.15800732196367
"9_06:486531",2.29469343413144
"B01:486779",2.1237101481174
"B07:486780",2.18323837372006
"B12:486781",2.11985503604732
"B25:486782",2.24515090475718
"B28:486784",2.21401119192913
"B30:486785",2.18869105343885
"B46:486786",2.20057728475631
"B50:486787",2.18344956351965
"D93:486788",2.09765614263368
