"","value"
"10_01:486532",83.0259971514949
"10_02:486533",84.7778814704179
"10_03a:486534",88.1958739771042
"10_05:486536",88.2760799786384
"11_02:486538",90.3016901011358
"11_04:486540",89.9883643677187
"11_05:486541",90.7366797885518
"11_06:486542",89.4511867184209
"12_01:486543",84.815389881651
"12_04:486544",88.0845685248566
"12_05:486545",88.6792414085215
"12_06:486546",91.7741793821502
"13_01:486547",91.0493003984213
"13_03:486549",91.8351994823652
"13_04:486550",91.8633222121286
"13_05:486551",94.5468024763478
"13_06:486552",95.8626393155187
"14_01:486553",83.9025681543923
"14_02:486554",93.5490410335717
"14_03:486555",94.7943407612282
"14_04:486556",90.864800276053
"14_06:486558",87.7469993249193
"15_01a:486559",94.8179528447949
"15_03:486560",86.8743445973246
"15_04:486561",85.8585655737277
"15_05:486562",88.263794528425
"15_06:486563",90.8167211473839
"16_02:486564",90.9105084756715
"16_03a:486565",84.4091390576346
"16_04:486566",89.8314893532071
"16_05:486567",93.8616839945798
"17_01:486568",90.5233013159303
"17_02:486569",89.7863894431252
"17_05a:486570",91.3405101628583
"18_01:486571",95.6012951682719
"18_02a:486572",87.1525761420337
"18_03a:486573",90.8323061709058
"18_04:486574",93.8113398846526
"18_05:486575",85.8658644224447
"19_05:486576",96.1207529289944
"20_01:486578",92.7826713909054
"20_02a:486579",87.8704222767214
"20_03:486580",89.4761152883316
"20_04:486581",90.6920107389849
"20_06:486582",99.5327110020431
"21_05:486585",92.0123665983554
"22_01:486587",90.5894005377749
"22_02:486588",92.9771804147707
"22_04:486590",90.2962602278601
"22_06:486591",94.4760982756869
"23_01:486592",92.9085924181281
"23_03:486593",89.450528726271
"24_02a:486594",86.8042943847504
"24_05:486596",90.2093345437004
"25_01a:486597",90.6772701098108
"25_02:486598",86.2910155304025
"25_03:486599",87.9137362496136
"25_04:486600",90.5878064596741
"25_06:486601",88.7488968834636
"26_01a:486602",83.2259990715973
"26_02:486603",91.3719342463783
"26_04:486604",93.1197285064179
"26_05:486605",89.570161542582
"26_06:486606",90.9505910803649
"27_01:486607",92.0265226605331
"27_02:486608",87.9582394621077
"27_04:486609",90.0688346604261
"27_06:486610",92.7903486614224
"28_01:486611",91.662095617332
"28_02:486612",89.0724338886541
"28_03:486613",87.0544249687714
"28_04:486614",85.5534340958664
"28_05:486615",86.0505031401379
"29_01:486616",94.8635432759681
"29_02a:486619",85.8992584329103
"29_03:486620",88.0023508281941
"29_04:486621",90.4533930242521
"29_05:486617",88.2017454769539
"29_06:486618",84.2464029832271
"30_01a:486622",88.9317588616476
"30_02a:486623",91.1200868240317
"30_03:486624",92.391011267718
"30_05:486625",91.5745055818561
"30_06:486626",85.9631499660433
"31_01:486627",88.8999282693341
"31_02:486628",91.5148565602801
"31_03:486629",89.1036755959752
"31_04:486630",92.0610158843149
"31_05:486631",87.3103739652579
"31_06a:486632",90.0670956373162
"32_01:486633",85.3325018807915
"32_02:486634",89.2566197411411
"32_03a:486635",91.8429592357849
"32_04:486636",93.7294402561299
"33_01a:486637",90.8880698821083
"33_02:486638",88.1538414640199
"33_05:486639",92.4451495284472
"33_06:486640",81.6281653545624
"34_02:486641",88.5851952046042
"34_03:486642",89.7050922361347
"34_05:486643",91.7854715313622
"34_06:486644",86.0250658292938
"35_01:486645",86.8624358559431
"35_02:486646",91.0007818400712
"35_03:486647",89.903580275292
"35_04:486648",90.4554114699575
"36_01:486649",89.5676808137266
"36_02:486650",87.4870545622286
"36_03:486651",92.6145240731762
"36_04:486652",86.0528704408266
"36_06:486654",88.6122028807411
"37_01:486655",89.3798208806482
"37_03:486656",94.0683286725235
"37_04:486657",90.10426279226
"37_05:486659",87.0481113336351
"37_06:486660",86.8193731476261
"38_01:486661",94.9997130630485
"38_02:486662",90.4156475552242
"38_03:486663",85.6682823495765
"38_04:486664",87.5216837577631
"38_05:486665",87.6710874771272
"38_06:486666",88.1610294405141
"39_02:486667",90.5299070191725
"39_03:486668",86.2281887348268
"39_04:486669",93.5232546898745
"39_05a:486670",88.0139287192681
"39_06:486671",88.2322593782104
"4_04:486501",89.9444630009854
"4_05:486502",97.4827133186936
"40_01:486672",86.5514491117167
"40_03:486673",84.6314145855013
"40_04:486674",93.6758967910145
"40_06:486676",85.5775280459794
"41_01:486677",93.2037090093265
"41_02:486678",87.7052165695561
"41_05:486679",90.122905778407
"41_06:486680",94.3087659550615
"42_01:486681",89.7297051305038
"42_02a:486682",98.6662630544479
"42_03:486683",89.1502829501387
"42_05a:486684",92.2622898472378
"42_06a:486685",89.0406272017543
"43_01:486686",92.3231112877123
"43_02:486687",98.699656835111
"43_03:486688",95.3135585539025
"43_05:486689",86.797567149393
"43_06:486690",83.8381518556215
"44_01:486691",86.5076748720519
"44_02:486692",92.7802509494232
"44_03:486693",89.4702362989241
"44_04:486694",90.9036198406115
"44_05:486695",92.0822046840196
"45_01:486696",87.0234465795417
"45_02:486697",94.7356014364957
"45_03:486698",95.7361563291174
"45_06:486700",84.1785937587341
"46_02:486701",93.3473849502877
"46_03:486702",92.3071119188797
"46_04:486703",90.9909005485463
"46_05:486704",93.3760346842464
"46_06:486705",89.1670934060172
"47_02:486706",97.4211178320893
"47_03:486707",94.2437644408703
"47_04:486708",85.6453359221716
"47_05:486709",87.0107844799426
"48_01:486710",101.154194397833
"48_02:486711",89.8343138434375
"48_03:486712",88.9465297536617
"48_04:486713",96.754476948639
"48_05:486714",90.5046434246278
"48_06:486715",89.91331855763
"49_01:486716",90.2636378093318
"49_02:486717",94.0564812712515
"49_03:486718",94.8936998906688
"49_04:486719",91.8901457125709
"49_05a:486720",88.7817540610746
"49_06:486721",88.6046911346937
"5_01:486503",92.2831150958662
"5_02:486504",94.4142892552603
"5_03:486505",88.695294477412
"5_04a:486506",88.1959430895851
"5_05:486508",82.2680829476921
"5_06:486509",87.380375100958
"50_01:486722",94.137978087657
"50_02:486723",90.0013176026058
"50_03:486724",85.8099016507528
"50_04:486725",86.229661591527
"50_06:486726",87.5424418562517
"51_01:486727",85.606881050877
"51_03:486728",88.7319758521852
"51_04a:486729",90.5112964881947
"51_05:486730",94.2538371749192
"51_06:486731",89.4524150045519
"52_03:486733",89.9054272366379
"52_06:486735",91.982292935341
"53_01:486736",82.3796546036613
"53_02:486737",88.0808394158478
"53_03:486738",94.4329525933193
"53_04:486739",87.2372420351127
"53_06:486740",91.9770465594944
"54_01:486742",92.7183040826302
"54_02:486743",84.4040410350678
"54_04:486744",87.4085998053172
"54_05:486745",90.057932234687
"55_01:486747",89.0310508755162
"55_02:486748",87.2777156815596
"55_04:486749",85.0093944368302
"55_05:486750",88.6885339595708
"55_06:486751",93.3266154790096
"56_01:486752",92.6256966298079
"56_03:486753",96.8667498407808
"56_04:486754",86.751511790669
"56_05:486755",87.6330511986282
"56_06:486756",92.0732584929021
"57_01:486757",93.0914621706743
"57_03a:486758",86.35746988149
"57_04:486759",92.0015577792558
"57_05:486760",91.531467532893
"57_06:486761",89.8851631467396
"58_01:486762",87.894003218734
"58_03:486763",92.1117861342261
"58_04:486764",91.7556598773238
"58_05:486765",90.9114252072479
"58_06a:486766",85.6765737452707
"59_01:486767",88.4102068251375
"59_03:486768",89.0815221354995
"59_04:486769",87.0870323757592
"59_05:486770",87.6500092647617
"59_06:486771",87.7126897181984
"6_01:486510",92.4626052987778
"6_04:486513",95.374234959095
"6_05a:486514",93.0181601455863
"60_01:486772",84.0980322590969
"60_02:486773",94.4034818405868
"60_04:486774",87.8578734317111
"60_05:486775",92.5646436574849
"60_06:486776",89.5104525587865
"61_01:486777",87.4691941593859
"61_02a:486778",90.0029905698453
"7_03:486517",91.9717917436808
"7_04:486518",88.183144635561
"7_06:486520",92.2728682607994
"8_01:486521",89.6708555251579
"8_02:486522",84.8026840291603
"8_03:486523",87.257510015855
"8_04:486524",93.1079428391186
"8_05:486525",91.6531092011124
"8_06:486526",86.1915047993589
"9_01:486527",90.1983556725998
"9_04:486529",88.3213468706865
"9_05:486530",92.3281084175502
"9_06:486531",89.5876425544455
"B01:486779",92.1777908537692
"B07:486780",89.8425806813303
"B12:486781",84.7816205182293
"B25:486782",87.2220287185271
"B26:486783",88.8673770212359
"B28:486784",86.4272773610285
"B30:486785",88.1638070395352
"B46:486786",88.4392106753813
"B50:486787",86.6626828093477
"D93:486788",86.4573529798784
