"","value"
"10_01:486532",76.099991410082
"10_02:486533",76.9690090349426
"10_03a:486534",79.0845083335566
"10_05:486536",80.084996438325
"11_01:486537",78.662639146966
"11_02:486538",81.1236286985238
"11_04:486540",79.4077688803245
"11_05:486541",81.5733203789081
"11_06:486542",76.5016920443313
"12_01:486543",74.8449710639626
"12_04:486544",77.6289961100929
"12_05:486545",78.3370436501626
"12_06:486546",78.0455102349869
"13_01:486547",77.3334860390454
"13_03:486549",79.1710098946195
"13_04:486550",80.62647762612
"13_05:486551",86.9946264417087
"13_06:486552",82.4692309103494
"14_01:486553",74.4369143743762
"14_02:486554",83.6320979893357
"14_03:486555",80.3361969296234
"14_04:486556",79.8985358979043
"14_05:486557",80.4923459714763
"14_06:486558",80.0284024448865
"15_01a:486559",79.979389037908
"15_03:486560",79.4444085159875
"15_04:486561",78.4407625464344
"15_05:486562",78.7325055256647
"15_06:486563",82.4905715594805
"16_02:486564",79.5269679340644
"16_03a:486565",76.6913996977498
"16_05:486567",80.7949142030938
"17_01:486568",80.2803479722239
"17_05a:486570",79.0776209791959
"18_01:486571",81.7944754037408
"18_02a:486572",77.6863287272932
"18_03a:486573",78.5803101096079
"18_04:486574",78.6925945569536
"18_05:486575",80.0257641972185
"19_05:486576",79.9402291759919
"19_06:486577",76.1341690410996
"20_01:486578",82.4149685672618
"20_02a:486579",79.6163664514645
"20_03:486580",73.497502872592
"20_04:486581",78.4425237688046
"20_06:486582",82.7627378924096
"21_02a:486583",83.9147437630659
"21_04:486584",79.9437925690493
"21_05:486585",82.8079240203808
"22_01:486587",78.1089184549752
"22_02:486588",79.9963452530436
"22_04:486590",80.7608647579527
"22_06:486591",79.9489684396013
"23_01:486592",78.3882611684201
"23_03:486593",74.3298768517824
"24_02a:486594",79.5506497513162
"24_04:486595",83.5723963026572
"24_05:486596",80.4679520585235
"25_01a:486597",79.0486520321769
"25_02:486598",77.5913640352382
"25_03:486599",77.1818692478089
"25_04:486600",78.3668756342648
"25_06:486601",79.1254617268312
"26_01a:486602",77.0315667611435
"26_02:486603",79.2215524588728
"26_04:486604",81.2653169914617
"26_05:486605",78.2556597736615
"26_06:486606",79.9057166267045
"27_01:486607",84.09250117896
"27_02:486608",75.2213783071678
"27_04:486609",79.2772423866311
"27_06:486610",80.5356210388345
"28_01:486611",80.0299120906598
"28_02:486612",75.557548628716
"28_03:486613",78.6904238605859
"28_04:486614",77.8546617919165
"28_05:486615",79.382543115561
"29_01:486616",82.0716019579614
"29_02a:486619",80.2553139580164
"29_03:486620",76.159866882896
"29_04:486621",81.1679973078528
"29_05:486617",78.871726420252
"29_06:486618",74.4324223763533
"30_01a:486622",76.5928154936714
"30_02a:486623",80.1308710202272
"30_03:486624",81.1470193064932
"30_05:486625",79.7277091813353
"30_06:486626",77.2039890891118
"31_01:486627",82.3740533030463
"31_02:486628",82.9632629521981
"31_03:486629",79.2270015543273
"31_04:486630",80.8560378567638
"31_05:486631",78.2582371957198
"31_06a:486632",78.950729229879
"32_01:486633",77.1443675003901
"32_02:486634",77.5400932273354
"32_03a:486635",80.8912957162205
"32_04:486636",81.502517185732
"33_01a:486637",82.7348556873007
"33_02:486638",78.6561327936684
"33_05:486639",78.6161465925236
"33_06:486640",73.6391811232052
"34_02:486641",78.9836971208486
"34_03:486642",80.8632101111062
"34_05:486643",77.0543813654984
"34_06:486644",80.5477786787608
"35_01:486645",77.510349396291
"35_02:486646",77.5145810551871
"35_03:486647",78.3463311076125
"35_04:486648",78.3397459297418
"36_01:486649",77.9504658606204
"36_02:486650",76.4736214178367
"36_03:486651",82.3214410892461
"36_04:486652",75.591540374201
"36_06:486654",80.9820402473988
"37_01:486655",77.4871207885135
"37_03:486656",79.5294929156999
"37_04:486657",78.9079293172795
"37_05:486659",75.1963241352236
"37_06:486660",80.6977932986012
"38_01:486661",80.8281360106955
"38_02:486662",78.5769438428987
"38_03:486663",78.7010667560414
"38_04:486664",78.8797827901519
"38_05:486665",79.9039393221903
"38_06:486666",77.7426137291909
"39_02:486667",79.3203629389167
"39_03:486668",78.1920233294629
"39_04:486669",82.1349909903185
"39_05a:486670",78.5298495929465
"39_06:486671",77.3220836620367
"4_04:486501",80.4533517247883
"4_05:486502",81.2775421815088
"40_01:486672",79.7946844447585
"40_03:486673",83.3371496712974
"40_04:486674",82.5814752654745
"40_06:486676",76.8235989513195
"41_01:486677",82.8669260314137
"41_02:486678",75.5649950662566
"41_05:486679",78.6215596674705
"41_06:486680",79.6801078830303
"42_01:486681",82.9285798885496
"42_02a:486682",82.3606436868925
"42_03:486683",78.7354577131406
"42_05a:486684",77.5783993617482
"42_06a:486685",78.641039883384
"43_01:486686",78.9840884315809
"43_02:486687",82.0455708178442
"43_03:486688",81.5789708950237
"43_05:486689",76.3832147605833
"43_06:486690",78.5637840939214
"44_01:486691",79.0202033259123
"44_02:486692",82.2692677440773
"44_03:486693",79.4885841867937
"44_04:486694",78.6050705818755
"44_05:486695",80.3361877327923
"45_01:486696",77.8950337088504
"45_02:486697",80.1192943608806
"45_03:486698",83.8282416859731
"45_06:486700",73.455866586514
"46_02:486701",84.6572705336388
"46_03:486702",79.9071256666577
"46_04:486703",81.0271567759257
"46_05:486704",80.1409396735219
"46_06:486705",77.6403707828932
"47_02:486706",80.1789604561793
"47_03:486707",81.6025601170701
"47_04:486708",76.4938671955502
"47_05:486709",77.3479100130435
"48_01:486710",80.8427067226499
"48_02:486711",80.3825020055447
"48_03:486712",78.5747001622317
"48_04:486713",78.13573332038
"48_05:486714",79.7045140262284
"48_06:486715",81.0288812460814
"49_01:486716",79.7879989566721
"49_02:486717",80.6607158864328
"49_03:486718",86.1685406736035
"49_04:486719",77.4561810020286
"49_05a:486720",77.5521473829852
"49_06:486721",77.4226660539132
"5_01:486503",79.483290426654
"5_02:486504",79.7084046859061
"5_03:486505",78.3790203453318
"5_04a:486506",77.9660311122557
"5_05:486508",76.5683565568863
"5_06:486509",78.2248571290343
"50_01:486722",83.819978768527
"50_02:486723",77.0345995080475
"50_03:486724",76.1539261800699
"50_04:486725",78.1777026040648
"50_06:486726",78.5924037217051
"51_01:486727",78.0712865064113
"51_03:486728",78.8376249529289
"51_04a:486729",77.9410741512715
"51_05:486730",79.3175830960871
"51_06:486731",78.4948794743356
"52_03:486733",78.5666323526439
"52_06:486735",79.1133875895153
"53_01:486736",73.4572279810605
"53_02:486737",79.1970750835825
"53_03:486738",77.6853985516552
"53_04:486739",80.2741912396242
"53_06:486740",77.1752356618282
"54_01:486742",79.6672838866539
"54_02:486743",77.9758631137015
"54_04:486744",78.2697932924065
"54_05:486745",80.282005214118
"55_01:486747",77.9360333698203
"55_02:486748",78.3390941789518
"55_04:486749",76.0130452247169
"55_05:486750",78.4105066232033
"55_06:486751",81.3496354976259
"56_01:486752",77.3377832834223
"56_03:486753",81.7076116923579
"56_04:486754",78.7560836976438
"56_05:486755",77.2023918959531
"56_06:486756",79.3343839466678
"57_01:486757",81.6872869235539
"57_03a:486758",77.9324124377857
"57_04:486759",78.9759172361865
"57_05:486760",80.3491195013075
"57_06:486761",80.1951465450398
"58_01:486762",78.8884635119696
"58_03:486763",80.274157563065
"58_04:486764",78.7315052143731
"58_05:486765",81.011689246976
"58_06a:486766",77.5841558655543
"59_01:486767",79.5249956799929
"59_03:486768",78.651221085915
"59_04:486769",78.270626032735
"59_05:486770",78.1621937828836
"59_06:486771",77.8668940575756
"6_01:486510",80.7935371222129
"6_03:486512",71.536065710639
"6_04:486513",83.4664724804357
"6_05a:486514",82.6224940673137
"60_01:486772",76.6840540019654
"60_02:486773",82.8171011554085
"60_04:486774",80.2833121107538
"60_05:486775",79.5703580379926
"60_06:486776",80.534307490088
"61_01:486777",77.9654828871909
"61_02a:486778",78.2697172543477
"7_03:486517",78.952197306126
"7_04:486518",76.4733378819377
"7_06:486520",79.6716516498462
"8_01:486521",77.8557166844968
"8_02:486522",76.2709589191474
"8_03:486523",77.2582254020293
