<Trait>	SC	15NT1	15NT2	15NT3	DT	DPS	AR	PDM	PTN_percent	PTN	GDM	GTN_percent	GTN
44_01:486691	13.07379239	98.1435852	87.14764546	79.02020333	80.25752596	80.37280591	2.692490954	191.7776078	1.157127924	2.257489682	32.67894342	2.069350421	0.669985816
44_02:486692	11.44670381	101.704473	92.26508673	82.26926774	76.78328291	80.42359983	1.785644975	205.218436	1.105836781	2.299195959	41.8109031	1.988508452	0.829994585
44_03:486693	13.04277178	NA	90.03100618	79.48858419	80.44817301	80.4932564	2.389090861	246.0494683	1.124590024	2.786046761	11.97292044	2.268958956	0.307591274
44_04:486694	11.39891364	NA	91.40871534	78.60507058	81.07258784	80.50177187	3.765142695	220.2299692	1.297860604	2.876325533	3.113175846	2.363247133	0.105799285
44_05:486695	12.33155268	99.01028743	93.19085471	80.33618773	82.40416127	85.06787538	3.092522365	212.1858749	1.178359799	2.505598499	23.31287124	2.06800843	0.502754196
45_01:486696	11.50137008	93.17891119	87.4809937	77.89503371	85.75948306	89.08235446	2.633472709	218.7742259	1.199798389	2.591571923	18.67854155	2.118442189	0.3634922
45_02:486697	9.550317325	94.19676611	94.94549463	80.11929436	77.19442495	80.59713996	3.599595352	191.6560949	1.142133718	2.110275611	17.32560057	2.087459083	0.345522922
45_03:486698	13.22696793	92.22871464	95.82584898	83.82824169	86.05007716	85.67884372	2.546381813	234.2930481	1.218073014	2.840455849	20.74936218	2.199855442	0.438352933
45_06:486700	10.94384736	91.59071426	84.272759	73.45586659	96.03667574	102.842258	4.161586228	214.5707766	1.279447216	2.641480924	6.905451463	2.529514477	0.142165579
46_02:486701	14.2082699	94.17276516	93.46422656	84.65727053	80.67978603	82.92105984	2.152620736	201.5509125	1.230538781	2.471441615	16.0242075	2.13979211	0.262522211
46_03:486702	12.16159416	NA	92.18315897	79.90712567	80.4419362	80.25966266	1.114538761	193.8597439	1.028575737	1.877986555	36.73331973	2.056674763	0.76166258
46_04:486703	13.42364504	94.69271524	90.23358723	81.02715678	83.0168748	85.20771696	2.095840462	193.5707131	1.041184281	1.939819306	50.14335752	1.940514191	0.920108259
46_05:486704	12.58644653	98.04054749	93.03712004	80.14093967	83.0090912	92.07585227	2.332731717	165.8312969	1.225597583	1.961695406	7.554562831	2.343500112	0.141757568
46_06:486705	8.44590347	97.71700762	89.04288876	77.64037078	85.70880232	85.41760216	2.709209199	233.9321058	1.406310968	3.241610004	10.08438392	2.282465184	0.201648935
47_02:486706	10.40202811	94.44331417	96.86353466	80.17896046	88.22758606	88.78069499	3.521890245	190.6072548	1.137815478	2.102310639	28.37557886	2.217509988	0.628896361
47_03:486707	14.14979981	NA	94.05216319	81.60256012	88.08372967	88.56939772	2.210102328	220.6248841	1.179444507	2.583432055	44.02678388	2.068457693	0.886286448
47_04:486708	6.023959827	97.0349025	85.41049606	76.4938672	84.31100045	91.60054375	2.051583833	186.8954508	1.122136525	2.049744698	27.41880339	2.08510189	0.526346175
47_05:486709	9.41056143	98.31116115	87.25865399	77.34791001	86.60920941	91.36644725	2.852340034	179.7414035	1.138170452	1.987967133	19.82005809	2.002076176	0.364847079
48_01:486710	12.45689717	105.4640281	100.3790031	80.84270672	85.82029559	88.64716613	3.347801236	213.1864487	1.257822993	2.682152725	11.26713932	2.245412926	0.214976176
48_02:486711	12.94352912	98.46060851	90.28184351	80.38250201	76.14067707	80.41889721	2.26984046	208.8080422	1.092530077	2.32678563	55.60913525	1.955369758	1.02966837
48_03:486712	13.35445943	98.96411533	88.89709066	78.57470016	84.25076442	91.71333888	2.068417325	182.4766132	1.230618167	2.204605542	11.35378156	2.408696393	0.262935993
48_04:486713	11.29025051	101.5314915	96.32978231	78.13573332	76.8715115	83.02937908	1.959233115	220.3684536	1.144320503	2.543593487	51.05335746	2.185690013	1.110459418
48_05:486714	11.93354545	94.1307755	90.86657417	79.70451403	82.36031978	88.52351336	3.093968437	278.0329541	1.049649404	2.935222088	21.02697255	2.120961507	0.417450223
48_06:486715	11.93383444	97.22649625	90.14750607	81.02888125	87.99764383	88.58465416	2.7403994	214.4194619	1.336186899	2.856130458	8.330632578	NA	NA
49_01:486716	12.50516428	NA	89.92898703	79.78799896	80.34139177	80.26834251	1.903616253	202.2774756	1.123940663	2.272391899	53.18882351	2.003714671	1.014884555
49_02:486717	8.47555078	103.6762081	93.31782384	80.66071589	95.95113196	99.77755961	3.500619588	230.1612551	1.170708638	2.726934261	10.82752753	2.401908895	0.233397253
49_03:486718	5.240730183	104.413815	94.81464776	86.16854067	99.95612929	102.9666916	3.00470841	215.4482721	1.189651581	2.541107094	NA	NA	NA
49_04:486719	13.37136095	97.38066137	90.99897543	77.456181	76.92415977	82.83264834	2.557474689	200.5735039	1.219336642	2.423471058	15.5748812	2.084474875	0.296348924
49_05a:486720	11.92507829	NA	88.95600268	77.55214738	84.45015151	91.20544419	2.478192513	201.9071104	1.236880212	2.403826969	NA	NA	NA
49_06:486721	10.10076919	96.59779343	88.17079308	77.42266605	80.18430483	80.48436257	2.620303457	195.7574439	1.145056731	2.161758392	14.95255297	2.140234309	0.284319528
5_01:486503	13.87608946	NA	92.02050116	79.48329043	83.16486408	88.57495455	2.00294917	181.6386555	1.284553682	2.157922364	11.92530208	2.202878892	0.205531668
5_02:486504	10.35126103	101.6970333	95.07977225	79.70840469	80.83421594	83.13658153	3.798144754	225.2270609	1.282931556	2.838737557	15.42067974	2.25087696	0.35366518
5_03:486505	10.91892336	100.1734995	88.66278152	78.37902035	83.28383168	86.33335497	3.019170926	193.4340385	1.254612086	2.323502378	10.40356695	2.281656841	0.181323231
5_04a:486506	4.34242703	97.2535865	88.32564313	77.96603111	85.3232048	91.81452194	4.102410279	222.344068	1.229603876	2.740573022	14.08769681	2.147944411	0.290753832
5_05:486508	11.1879022	NA	82.71248684	76.56835656	76.60695576	80.43151998	1.993000127	217.6935073	1.047108694	2.259199734	27.40762474	2.048291303	0.565286628
5_06:486509	12.4576082	NA	87.64919069	78.22485713	76.57482928	80.24726577	4.175704435	195.808379	1.302403656	2.472449807	12.75640243	2.233211429	0.233105661
50_01:486722	11.55337169	99.8430354	94.57058512	83.81997877	88.56238706	92.06073508	3.433368268	198.8455194	1.269593726	2.496190368	13.17403921	2.223609303	0.257626412
50_02:486723	12.26185393	92.9030688	90.43939049	77.03459951	74.27433458	80.94168944	3.019599438	202.6411694	1.217011804	2.472763282	14.78480649	2.185846812	0.292059082
50_03:486724	11.97551525	93.82568879	86.59258642	76.15392618	82.30127292	88.55991528	4.02029287	214.1546688	1.183267048	2.437293044	19.91939171	2.117134034	0.396086928
50_04:486725	9.298332455	95.65416088	86.57895251	78.1777026	79.63553797	84.78905116	2.943784072	233.7840662	1.198939131	2.79731893	14.87793603	2.230308021	0.297839053
50_06:486726	10.6602066	95.41729732	87.68461929	78.59240372	80.61540626	85.52190339	3.147532789	227.5751814	1.146871071	2.566010232	12.19100964	1.942785655	0.199052513
51_01:486727	11.74658204	91.70991421	86.56545326	78.07128651	92.7460751	96.0234892	3.705635185	192.5681082	1.132851177	2.249790012	NA	NA	NA
51_03:486728	8.833654241	94.06363808	88.81354847	78.83762495	82.83725662	85.51187471	3.495292718	211.6738717	1.287765243	2.785956563	20.01927774	2.254805145	0.400458449
51_04a:486729	10.05402228	100.6792767	90.75308097	77.94107415	91.80861117	91.73939374	3.562495114	243.7848929	1.174905519	2.927220629	13.71640347	2.173966583	0.245694799
51_05:486730	8.227536913	106.7062098	95.38386163	79.3175831	88.55910541	91.97330907	4.84723032	242.1460866	1.294606116	3.20952317	NA	NA	NA
51_06:486731	7.227860417	99.18848181	89.5304432	78.49487947	84.83881738	91.83831833	2.600502257	192.7456801	1.062348257	1.994343852	19.5753359	2.136802143	0.388597037
52_03:486733	11.46109424	94.93468493	90.7212794	78.56663235	79.67706362	80.44016393	2.784263616	202.8357311	1.237654568	2.507153373	20.23138208	2.114893205	0.423317817
52_06:486735	4.859963354	100.8994424	92.55537909	79.11338759	82.06133752	88.44087967	3.733045123	242.0510583	1.202117465	2.890082755	12.74912232	2.408531382	0.244107797
53_01:486736	13.79969315	92.84141342	82.96989339	73.45722798	87.90826862	91.56431267	3.542742958	220.9125672	1.159036821	2.701162373	11.1249895	2.163812276	0.22360183
53_02:486737	10.65562414	94.4193901	88.35076886	79.19707508	74.0724123	80.76603026	2.266918333	171.5162491	1.24404485	2.104470337	7.579062711	2.219786297	0.157011956
53_03:486738	5.483035204	99.37710935	94.92194602	77.68539855	91.87653517	98.82103081	3.671592487	272.2764359	1.264929522	3.63211577	NA	NA	NA
53_04:486739	12.09884873	92.78435225	87.82349736	80.27419124	74.63905692	77.45233346	2.056214842	198.3846524	1.227874634	2.435766236	11.50392817	2.152644015	0.242751446
53_06:486740	6.09319204	101.1634054	91.24452819	77.17523566	85.48497963	96.09571032	3.907179863	231.3939923	1.182596369	2.755438787	5.717618549	2.430675418	0.115995564
54_01:486742	9.902600623	97.53638154	92.89609297	79.66728389	83.98609173	88.80189578	2.720312693	217.5422017	1.22004663	2.696366057	13.40822465	2.325164329	0.275505777
54_02:486743	9.93545761	97.89462935	85.24675707	77.97586311	81.89070095	85.69346227	2.250065873	200.8652545	1.179224054	2.350163777	18.40371234	2.175483844	0.397492555
54_04:486744	12.88821762	95.65395118	87.57181149	78.26979329	80.71076474	85.26146416	2.908025954	228.1729272	1.242634044	2.866489729	11.13066656	2.377551972	0.243985328
54_05:486745	2.332475579	105.2485093	90.60619759	80.28200521	82.60923636	88.42727161	3.146133697	204.4472046	1.30780071	2.608171556	9.342175598	2.290277056	0.201457381
54_06:486746	11.10380556	96.32719236	NA	NA	60.10626463	66.64319589	0.926279742	148.6601699	1.183961231	1.636563866	NA	NA	NA
55_01:486747	10.36872391	96.89578301	89.54646375	77.93603337	84.30687809	88.38124432	2.762514577	229.2290993	1.08552436	2.517445669	14.02426679	2.141313084	0.278915642
55_02:486748	6.955754795	99.16825982	87.70707754	78.33909418	85.07806696	92.13886763	3.028899453	231.9260212	1.271393727	2.984058889	10.34317601	2.315115991	0.210065646
55_04:486749	10.48095236	95.9294	85.51080056	76.01304522	82.16936478	88.36926524	3.885857847	235.9000718	1.093898225	2.537413989	20.05018792	2.251803133	0.444931077
55_05:486750	7.117405375	96.03984889	89.06318502	78.41050662	77.24294507	83.36860883	2.829953491	196.1365274	1.181043071	2.303780686	17.11127214	2.108395504	0.350697689
55_06:486751	10.91603932	104.3944911	93.30186337	81.3496355	85.01631344	88.75866571	3.025363762	180.7597313	1.332242499	2.270197884	NA	NA	NA
56_01:486752	9.521952932	98.27151812	92.37232874	77.33778328	85.62106567	92.33919788	3.016129357	245.3772002	1.274474881	3.211235719	13.97816106	2.161539375	0.265678761
56_03:486753	8.976303502	101.2260263	96.6864623	81.70761169	95.24744761	99.76941684	4.081484621	254.3815929	1.157156602	3.038306002	10.66199751	2.200152806	0.200006491
56_04:486754	11.26980438	95.75109263	86.9886568	78.7560837	79.52741596	85.15771271	2.305455592	183.2548636	1.342133396	2.368215728	12.44584493	2.145371663	0.243565176
56_05:486755	7.099614762	97.08767512	88.00467282	77.2023919	82.20157783	88.81534333	3.897329919	243.0081332	1.217857598	3.038304974	14.44391366	2.196200724	0.300275393
56_06:486756	7.86347321	101.2170063	92.09603597	79.33438395	76.71992589	80.69503197	2.844086047	208.8661948	1.097781909	2.234402371	15.72028361	2.163121629	0.29241529
57_01:486757	13.06709333	99.90348307	93.64431668	81.68728692	79.96636215	82.38398429	3.158478392	188.4081238	1.137791143	2.118642375	12.15376866	2.137350455	0.24221221
57_03a:486758	7.674804487	94.19022419	86.64758633	77.93241244	84.71486955	90.8356603	2.404972761	202.5366862	1.231537142	2.383793122	NA	NA	NA
57_04:486759	11.25888375	98.13632294	92.76630794	78.97591724	76.30934912	79.87908632	3.512047429	176.2590048	1.345340392	2.21792427	6.279193241	2.339446859	0.181677491
57_05:486760	10.43196798	103.4905804	92.06519402	80.3491195	76.44631899	80.10558949	3.693798868	222.6579284	1.119266237	2.472977958	16.35781561	2.31707989	0.364850008
57_06:486761	10.43362676	99.48810978	90.18033151	80.19514655	87.56061002	98.30889554	3.916080878	224.1990196	1.248159289	2.749615103	NA	NA	NA
58_01:486762	10.09360138	94.45136918	87.64648982	78.88846351	85.91785987	89.02346395	2.926973897	189.7392395	1.229424773	2.377999157	13.90066433	2.339855832	0.268816635
58_03:486763	7.806659293	102.5539527	91.78585009	80.27415756	88.73098392	92.05580912	2.460346617	209.5115939	1.324269593	2.734852699	11.25008858	2.170569128	0.215907651
58_04:486764	12.95252852	96.57153369	91.470366	78.73150521	86.38000742	91.92511644	2.498562508	208.4638837	1.245258472	2.592762327	10.89879427	2.13784414	0.212023742
58_05:486765	6.05297938	100.1835181	91.34663065	81.01168925	80.63602696	85.41024308	3.05553504	212.2957914	1.202445574	2.489474583	10.36508019	2.126037374	0.197792587
58_06a:486766	8.666251591	93.10560568	85.4481699	77.58415587	80.85050822	83.15036736	3.356624164	205.0160603	1.276421276	2.582283621	6.8592676	2.24388194	0.142072651
59_01:486767	8.57706882	95.92636526	88.19059511	79.52499568	80.25105969	82.79176102	2.851637885	218.0697431	1.288940315	2.921741819	13.17312409	2.328907087	0.286812708
59_03:486768	14.05099122	95.81446245	89.06663064	78.65122109	85.29036282	92.06888387	2.816957684	192.9827512	1.383958101	2.590209161	9.099897526	2.256567888	0.181782531
59_04:486769	8.273498507	95.21120587	87.25351373	78.27062603	95.30998414	95.73705408	2.343175174	200.9361796	1.075048531	2.122141008	8.186339119	2.412005315	0.156820758
59_05:486770	10.52597766	94.02196764	87.99600915	78.16219378	80.32190792	85.44053564	3.520560068	198.1853984	1.21003282	2.326155166	10.27613701	2.576078154	0.179556519
59_06:486771	8.30323009	95.02693948	88.08304396	77.86689406	88.36331028	92.00677129	3.995535019	253.6660995	1.190946989	2.955662406	10.41809469	2.214914605	0.208315389
6_01:486510	13.99916055	95.69794441	92.78496133	80.79353712	89.36324604	92.12530414	2.699146841	204.4208389	1.219864811	2.493141865	15.42854176	2.090461607	0.287571185
6_02:486511	11.55897927	98.48322984	NA	NA	66.31921092	69.89549124	1.027128052	175.1881087	1.264906285	2.122822358	13.75286681	2.208520022	0.241783427
6_03:486512	12.60388792	87.10397582	81.61950901	71.53606571	119.4957451	124.5656953	9.184289634	404.7492919	1.228925483	4.850874782	7.714353415	2.108693841	0.163772663
6_04:486513	6.399606375	112.7428097	95.19982026	83.46647248	83.38221351	85.3487874	3.361456063	209.4724192	1.175972498	2.367133451	20.90011902	2.123040744	0.423298538
6_05a:486514	6.377653537	102.9842708	93.18957109	82.62249407	92.22097096	99.11396978	4.542376648	234.1359823	1.181305259	2.812325011	6.794739406	2.137433611	0.135295962
60_01:486772	13.24407796	91.32583538	84.19034507	76.684054	88.96090835	92.08059519	3.406879337	205.7327383	1.351028861	2.829845811	15.26557329	2.326110182	0.286513949
60_02:486773	11.60061967	100.3717844	94.49405014	82.81710116	77.00388414	80.27367386	3.035072248	180.2135061	1.23483245	2.135960942	13.59340841	2.136139562	0.259628641
60_04:486774	4.110649142	97.58350993	88.4598507	80.28331211	73.70296059	82.52009628	4.457984454	263.5194473	1.155238874	3.029067572	11.87438953	2.50216697	0.246188943
60_05:486775	9.924264158	98.73996845	92.9065421	79.57035804	81.00331056	85.35111499	2.827674614	173.4942978	1.278079567	2.108798548	11.95668514	2.200810411	0.228720478
60_06:486776	11.1004922	95.66416218	89.66878693	80.53430749	80.53998051	80.37738503	1.852935176	178.8749513	1.328547985	2.288705452	16.75947357	2.197138435	0.349389258
61_01:486777	11.3507554	93.39225482	87.39851652	77.96548289	79.27503569	84.6372584	3.858415226	198.4451085	1.157236684	2.307643451	15.00593983	2.261263991	0.283492282
61_02a:486778	4.635916077	100.0530366	90.09691745	78.26971725	98.32003229	104.9671209	6.05147333	260.5728852	1.168203943	3.208162701	11.23141064	2.350186409	0.211343452
7_01a:486515	8.410239506	NA	NA	NA	84.58212565	84.71973126	3.298924638	191.9951426	1.269503037	2.387755741	13.32761338	2.297312174	0.268346574
7_02a:486516	9.22590782	NA	NA	NA	84.77702929	91.2379926	5.672711957	185.9148091	1.411080794	2.416444091	NA	NA	NA
7_03:486517	13.1074306	97.24587835	91.96952777	78.95219731	88.70333953	88.63748289	3.051105187	216.2989979	1.241044443	2.632911526	NA	NA	NA
7_04:486518	11.89691095	NA	87.97336623	76.47333788	76.65073459	80.17951085	2.327152511	200.4369228	1.122227009	2.267980077	30.8477251	2.015152305	0.598864885
7_06:486520	9.316845604	NA	92.22316109	79.67165165	77.31809881	80.55729597	2.488444775	184.031782	1.219248632	2.170291147	25.04872068	2.128357176	0.523526794
8_01:486521	6.1435267	100.6920901	89.48384926	77.85571668	85.19952142	88.7755786	4.101426085	191.8900634	1.354996186	2.608364745	15.32775032	2.338927652	0.340643875
8_02:486522	10.55221625	91.60054924	84.76358834	76.27095892	83.37767372	85.52561668	3.842226194	200.6270839	1.229314046	2.426792919	20.97211226	2.039311354	0.403126849
8_03:486523	8.740946613	96.42163446	87.04461361	77.2582254	73.61844271	80.13548964	2.126912674	202.039026	1.155475154	2.314184845	58.5086318	2.03890238	1.140920653
8_04:486524	11.86443749	101.1347333	92.70577843	82.34443868	80.31487558	85.38484622	2.216903116	191.4954385	1.203449234	2.262399562	22.58329157	2.046906937	0.448709094
8_05:486525	12.66891051	99.17931278	91.54826783	79.14178713	92.05898854	95.82630392	2.289993423	200.2238482	1.220784569	2.4774898	NA	NA	NA
8_06:486526	13.44370623	94.93530522	85.89105608	75.83051025	82.85882867	85.25190751	3.510116611	198.8703113	1.128564928	2.184687591	23.79924994	2.032625258	0.480522963
9_01:486527	12.69142553	100.6614318	89.77881834	81.62118997	83.01597887	88.52648647	2.602754399	222.5988673	1.223027372	2.661299913	23.12768806	1.969957061	0.405441532
9_03a:486528	3.770314563	NA	NA	77.28569886	82.502601	88.52918544	3.523001934	225.2582155	1.317574313	2.936415542	NA	NA	NA
9_04:486529	6.607855742	99.45941962	88.51137034	78.49411765	84.55119382	91.70872473	3.59350483	216.7722498	1.220037669	2.669684488	7.908763842	2.335643541	0.176707658
9_05:486530	10.96558433	99.67112443	92.17305827	79.80990958	80.92603439	85.33895166	3.430105946	197.8930348	1.206866306	2.273482638	8.130578123	2.076460483	0.193609548
9_06:486531	9.230404035	98.19166436	89.83901935	78.51547076	80.28703602	84.83712427	3.977698963	263.9003351	1.152793523	2.968147109	NA	2.259187461	NA
B01:486779	14.17286932	96.26449441	92.55076333	81.17533098	73.94513668	80.58084898	3.10000597	217.7665803	1.209205516	2.610886944	11.32809067	2.041352729	0.220659511
B07:486780	13.09893859	96.04230322	89.86451509	78.77535208	96.83881573	96.26487865	2.840904216	174.482077	1.084437857	1.830573393	11.0580108	2.103079441	0.224381282
B12:486781	11.91405343	101.6659447	84.79313669	78.29293494	86.29371912	89.12459549	2.633581939	227.8913878	1.072896538	2.330833814	31.94469803	2.032288236	0.607181802
B25:486782	6.364631669	NA	87.60422011	81.04786637	80.881288	83.15348276	2.735960941	208.7216519	1.311514893	2.551313696	34.33943343	2.180957503	0.706531772
B26:486783	10.44408723	95.26576717	88.57077015	82.77552479	96.32477031	95.8981761	2.913211488	173.7851858	1.42127474	2.189179432	NA	NA	NA
B28:486784	12.46753462	96.47832417	87.56883911	78.18168185	80.55821798	83.24527212	2.069433902	179.8228934	1.310423885	2.215633964	12.28560611	2.14148614	0.251514653
B30:486785	13.226552	NA	87.92398421	76.74864884	80.04738989	85.25697364	2.917240403	201.3242932	1.086374229	2.126844861	13.59414533	2.132163227	0.247579784
B46:486786	12.42675481	99.87915385	88.94913591	81.24449003	80.54655765	85.62710356	3.680588927	225.0332329	1.084380869	2.310485686	23.09567324	2.134485644	0.461211308
B50:486787	9.939080459	NA	87.44234526	80.69363934	81.17212241	83.29976263	3.206207761	186.2256887	1.152862874	2.065161432	9.089007007	2.107556496	0.186541752
D93:486788	14.46878713	92.34979491	86.17432042	79.46937764	83.03158482	85.3950794	2.171613131	191.3427708	1.0731349	2.01844149	20.30064982	2.04362193	0.315942815
