Longitude,Latitude,Plot,TFamily,Line,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrt_T,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN,GTN_logT,GTN_sqrtT
4,6,4.06,N,Negative,1,15,1.204119983,3.937003937,58,1.770852012,7.64852927,65,1.819543936,8.093207028,133.67,2.129271815,11.58319023,NA,NA,NA,NA,NA,NA,0.00,0,0.707106781,168.00,2.227886705,12.98075499,0.7,0.230448921,1.095445115,146.3,2.168301015,12.11748049,1.56,0.408239965,1.435270009
4,7,4.07,TD,D 83,2,14,1.176091259,3.807886553,73,1.86923172,8.5732141,80,1.908485019,8.972179222,170.67,2.234700571,13.08328844,142.96,2.158230402,11.97732063,128.97,2.113853842,11.37862949,0.33,0.124938737,0.912870929,204.83,2.313515707,14.32945684,1.3,0.361727836,1.341640786,23.8,1.394451681,4.929503018,2.25,0.511883361,1.658312395
4,8,4.08,TD,D 103,2,10,1.041392685,3.240370349,80,1.908485019,8.972179222,85,1.934498451,9.246621004,111.04,2.0493802,10.56133664,97.41,1.993050306,9.895075007,106.56,2.031633328,10.34677121,3.00,0.602059991,1.870828693,212.17,2.328719294,14.58309524,1.35,0.371067862,1.360147051,0.6,0.204119983,1.048808848,2.39,0.530199698,1.7
4,9,4.09,N,Negative,2,15,1.204119983,3.937003937,58,1.770852012,7.64852927,65,1.819543936,8.093207028,147.10,2.170546013,12.14894709,NA,NA,NA,NA,NA,NA,0.00,0,0.707106781,233.17,2.369525074,15.28615932,0.56,0.193124598,1.029563014,209.5,2.3232521,14.49137675,1.56,0.408239965,1.435270009
4,10,4.10,TD,D 82,2,15,1.204119983,3.937003937,85,1.934498451,9.246621004,85,1.934498451,9.246621004,129.51,2.115633043,11.40205115,149.95,2.178832773,12.26580124,141.03,2.152377524,11.89660296,1.33,0.367976785,1.354006401,246.83,2.394159718,15.72683482,1.04,0.309630167,1.240967365,12.4,1.126023118,3.587013614,2.39,0.530199698,1.7
4,11,4.11,TD,D 78,2,11,1.079181246,3.391164992,73,1.86923172,8.5732141,80,1.908485019,8.972179222,182.03,2.262533754,13.51054535,136.60,2.138626914,11.70908565,120.59,2.084883177,11.00390338,2.33,0.522878745,1.683250823,264.17,2.423518929,16.26857912,1.55,0.40654018,1.431782106,0.4,0.146128036,0.948683298,2.61,0.557507202,1.763519209
4,12,4.12,T,Positive,2,15,1.204119983,3.937003937,100,2.004321374,10.02496883,100,2.004321374,10.02496883,121.81,2.089223098,11.05924922,126.50,2.10549391,11.26921568,97.77,1.994630082,9.913180297,8.67,0.985276743,3.027650354,268.67,2.430827267,16.4062996,1.18,0.338456494,1.29614814,NA,NA,NA,NA,NA,NA
5,1,5.01,TB,B 66,1,14,1.176091259,3.807886553,85,1.934498451,9.246621004,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.367976785,1.354006401,96.33,1.988261597,9.840392946,1.67,0.426511261,1.473091986,NA,NA,NA,NA,NA,NA
5,2,5.02,TB,B 21,1,9,1,3.082207001,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00,0.698970004,2.121320344,192.33,2.286306739,13.88644423,1.79,0.445604203,1.513274595,NA,NA,NA,NA,NA,NA
5,3,5.03,TB,B 47,1,11,1.079181246,3.391164992,85,1.934498451,9.246621004,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.522878745,1.683250823,140.17,2.14973216,11.86029792,1.57,0.409933123,1.438749457,NA,NA,NA,NA,NA,NA
