Longitude,Latitude,Plot,TFamily,Parent1,Parent2,Line,Genotype,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrtT,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN_percent,PTN_percent_logT,PTN_percent_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN_percent,GTN_percent_logT,GTN_percent_sqrtT,GTN,GTN_logT,GTN_sqrtT
28,10,28.1,TF,T,F,F 07,60_05:486775,2,9,1,3.082207001,80,1.908485019,8.972179222,85,1.934498451,9.246621004,76.52,1.889413764,8.776103919,90.61,1.961942883,9.545155839,62.8,1.804820679,7.956129712,3,0.602059991,1.870828693,147.33,2.171228997,12.1585361,1.42,0.383815366,1.385640646,2.092086,0.490251564,1.609995652,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,5,60.05,TF,T,F,F 07,60_05:486775,1,11,1.079181246,3.391164992,80,1.908485019,8.972179222,85,1.934498451,9.246621004,85.34,1.936212044,9.264987858,61.22,1.793930007,7.856207737,54.31,1.742803658,7.403377608,2.33,0.522444234,1.682260384,124,2.096910013,11.1579568,1.18,0.338456494,1.29614814,1.4632,0.391499676,1.401142391,0.3,0.113943352,0.894427191,2.26,0.5132176,1.661324773,0.00678,0.00293458,0.711884822
32,10,32.1,TF,T,F,F 08,54_04:486744,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,85,1.934498451,9.246621004,70.01,1.851319513,8.397023282,59.45,1.781396305,7.742738534,65.9,1.825426118,8.148619515,2.67,0.564666064,1.780449381,234,2.371067862,15.31339283,1.35,0.371067862,1.360147051,3.159,0.61898892,1.912851275,0.2,0.079181246,0.836660027,2.76,0.575187845,1.805547009,0.00552,0.002390713,0.710999297
54,4,54.04,TF,T,F,F 08,54_04:486744,1,13,1.146128036,3.674234614,80,1.908485019,8.972179222,85,1.934498451,9.246621004,62.42,1.802226238,7.932212806,53.23,1.734239604,7.330075034,40.67,1.6198235,6.416385275,2.67,0.564666064,1.780449381,236.83,2.376266636,15.40551849,1.29,0.359835482,1.337908816,3.055107,0.608002318,1.885499138,14.4,1.187520721,3.860051813,2.3,0.51851394,1.673320053,0.3312,0.124243309,0.911701706
29,9,29.09,TF,T,F,F 09,49_03:486718,2,7,0.903089987,2.738612788,100,2.004321374,10.02496883,100,2.004321374,10.02496883,162.85,2.214446446,12.78084504,139.74,2.148417547,11.84229707,116.13,2.068668143,10.79953703,2,0.477121255,1.58113883,146.83,2.169762577,12.13795699,1.24,0.350248018,1.319090596,1.820692,0.450355667,1.523381764,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,3,49.03,TF,T,F,F 09,49_03:486718,1,2,0.477121255,1.58113883,100,2.004321374,10.02496883,107,2.033423755,10.36822068,NA,NA,NA,NA,NA,NA,130.99,2.120541029,11.46690891,4,0.698970004,2.121320344,300,2.478566496,17.33493582,1.16,0.334453751,1.288409873,3.48,0.651278014,1.994993734,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,9,31.09,TF,T,F,F 10,NA,2,13,1.146128036,3.674234614,80,1.908485019,8.972179222,85,1.934498451,9.246621004,99.64,2.002770628,10.00699755,84.54,1.932169246,9.221713507,75.03,1.88098499,8.690799733,3,0.602059991,1.870828693,187.67,2.275702849,13.71750706,1.33,0.367355921,1.352774926,2.496011,0.54357279,1.730898899,0.2,0.079181246,0.836660027,2.35,0.525044807,1.688194302,0.0047,0.002036402,0.71042241
51,2,51.02,TF,T,F,F 10,NA,1,14,1.176091259,3.807886553,80,1.908485019,8.972179222,80,1.908485019,8.972179222,75.57,1.884058647,8.721811738,96.62,1.989538803,9.854947996,96.26,1.987934265,9.836666102,4.33,0.726727209,2.197726098,204.5,2.312811826,14.31782106,1.38,0.376576957,1.37113092,2.8221,0.582302046,1.822662887,0.5,0.176091259,1,2.34,0.523746467,1.685229955,0.0117,0.00505175,0.715332091
35,12,35.12,TF,T,F,F 11,57_01:486757,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,80,1.908485019,8.972179222,90.45,1.96118371,9.536770942,96.28,1.988023562,9.837682654,91.15,1.96449534,9.57340065,2.67,0.564666064,1.780449381,121.17,2.086964574,11.0304125,1.08,0.318063335,1.256980509,1.308636,0.363355464,1.344855383,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,57.01,TF,T,F,F 11,57_01:486757,1,13,1.146128036,3.674234614,80,1.908485019,8.972179222,85,1.934498451,9.246621004,68.02,1.838974955,8.277680835,65.71,1.824190941,8.136952747,51.77,1.722387094,7.229799444,3.67,0.669316881,2.042057786,203.67,2.31105419,14.28880681,1.135,0.329397879,1.278671185,2.3116545,0.520045021,1.676798885,0.3,0.113943352,0.894427191,2.1,0.491361694,1.61245155,0.0063,0.002727473,0.711547609
