<Trait>,15NT1,15NT2,15NT3,AR,DPS,DT,GDM,GTNP,GTN,PDM,PTNP,PTN,SC
46_04:486703,95.99246928,90.99090028,80.84326597,1.882794129,85.60440444,83.24588575,48.78023614,1.959150138,0.858200462,195.5222157,1.067445134,1.876122408,13.44840551
46_05:486704,99.32752856,93.37603357,80.12746185,2.165616774,92.32420547,83.38520241,6.023233676,2.330435966,0.138350135,164.9428394,1.22804899,1.893633684,12.57210668
46_06:486705,98.2503216,89.1670938,78.39102031,2.65028057,85.2618349,85.27122028,10.18342177,2.276511951,0.219475701,236.8294454,1.367102208,3.285025687,8.551936766
47_02:486706,95.35520089,97.4211154,80.56512286,3.56704224,88.64529259,87.76790928,29.53829665,2.21885544,0.637935564,191.8950175,1.163846481,2.126379205,10.01380298
47_03:486707,NA,94.24376277,81.27627577,1.906202293,87.79045518,87.37952256,41.21264388,2.084135056,0.812122254,222.7113637,1.185651635,2.605755521,13.93835226
47_04:486708,99.13602261,85.64533735,77.80386243,1.844811525,91.28707679,84.25626993,24.79292107,2.098570122,0.481918593,185.9282468,1.14904212,2.047038732,5.767817297
47_05:486709,98.62164526,87.01078538,78.37748124,2.649692879,91.17344238,86.60945066,18.21894072,2.022412924,0.354195338,178.1616405,1.157325368,1.969440175,9.203045252
48_01:486710,106.6443782,101.1541907,80.51016572,3.373420511,88.8745664,85.84624825,8.402325619,2.244160407,0.170624848,211.6495646,1.252600165,2.719900607,12.33450636
48_02:486711,98.49167136,89.83431399,80.01603706,1.985790003,80.6435123,76.50081447,55.82296408,1.983978099,1.004437613,205.1800534,1.124082636,2.294184575,12.7906516
48_03:486712,99.08705573,88.94653018,78.92305478,1.823306268,91.73513769,84.03583939,10.39056527,2.392122946,0.234263936,181.8521496,1.229650774,2.161347842,13.23888414
48_04:486713,102.9849941,96.75447494,78.39292854,1.710508026,82.74164601,76.37660447,49.81700078,2.188789112,1.035524326,217.3449775,1.158840886,2.516830359,11.30809116
48_05:486714,94.68679913,90.5046432,79.60147984,3.018008966,88.9525686,82.68139316,19.79034731,2.134493769,0.397196143,277.8947895,1.078172073,2.93567676,11.86785353
48_06:486715,96.87681046,89.91331854,80.55541925,2.595885616,88.9525686,88.23228828,8.3123516,NA,NA,211.7518462,1.314222315,2.866225243,11.86785353
49_01:486716,NA,90.26363766,79.87032215,1.618027781,79.84820542,80.43520642,49.46029569,2.017642081,0.922612067,201.13378,1.142462665,2.241507151,12.32659843
49_02:486717,104.435365,94.05648001,80.48630972,3.584257025,100.0635967,96.16952095,11.22858488,2.387630269,0.253399429,232.3289998,1.183742794,2.766554106,8.340444507
49_03:486718,104.9760188,94.89369813,84.16118007,2.898374309,103.1096736,100.2434141,NA,NA,NA,218.1532923,1.202424485,2.582722222,5.199391897
49_04:486719,98.78131948,91.89014518,78.29409126,2.382273671,83.03855129,76.94508943,14.77831469,2.094636013,0.297568011,200.6076246,1.215200235,2.383990864,13.18378226
49_05a:486720,NA,88.78175451,78.2811632,2.15373758,91.02826207,84.93322852,NA,NA,NA,200.6018845,1.24340208,2.400201363,11.7530527
49_06:486721,97.51002072,88.60469151,78.23751832,2.478727968,80.02317447,80.1221425,14.14664674,2.144528937,0.291020587,196.0881708,1.175765962,2.176263988,10.07717349
5_01:486503,NA,92.28311413,79.5237061,1.743327597,88.66531972,83.47045789,9.071751621,2.204217998,0.200543149,178.9368613,1.268835899,2.099918494,13.83649554
5_02:486504,100.7962823,94.41428759,79.26395179,3.900106825,82.97223849,81.04929466,17.04590281,2.243928022,0.366872249,227.9192389,1.269645094,2.905708115,10.39343074
5_03:486505,100.2920195,88.69529493,78.74912745,2.923999773,86.29972096,83.42262601,12.17871563,2.274049155,0.256721159,191.6535801,1.25648381,2.299653315,10.91565284
5_04a:486506,97.39417229,88.19594358,78.52613549,4.218845268,92.09258151,85.66511985,14.1819856,2.15202146,0.296631871,222.3858205,1.223970744,2.757285783,4.371986483
5_05:486508,NA,82.26808578,77.56029374,1.694369802,80.45635856,76.73828369,28.00938532,2.062592552,0.540281144,217.0222326,1.082176169,2.21440163,11.04512843
5_06:486509,NA,87.380376,78.99552151,4.264432392,79.84261965,76.34403841,10.86106153,2.231697631,0.232664193,196.5419829,1.287173639,2.472478462,12.24344342
50_01:486722,100.0645887,94.13797666,82.50784625,3.468060804,92.40945871,88.87030288,11.26463425,2.223761081,0.235715967,195.0909012,1.267018604,2.49719514,11.450052
50_02:486723,93.93806924,90.00131745,78.00049091,3.036757544,80.80627956,74.33675935,14.70936817,2.18992534,0.303340535,199.0002948,1.216193049,2.416475737,12.26636024
50_03:486724,93.08974472,85.80990289,77.09763269,4.168785566,89.04955819,82.74962354,18.21835493,2.128568559,0.365103386,211.4004709,1.199405955,2.426098805,11.88820141
50_04:486725,95.78659839,86.22966291,78.47757315,2.820164052,84.96667002,80.11616949,14.57440714,2.229626787,0.303932305,229.6494563,1.212346805,2.785556347,9.305227038
50_06:486726,96.44180203,87.54244256,78.82631637,3.138591793,85.51779009,80.63628598,10.94907321,1.963693807,0.206427115,226.5873942,1.16448188,2.549609739,10.5988912
51_01:486727,90.19263529,85.60688257,78.2769327,3.742337652,96.37269364,93.07931353,NA,NA,NA,190.3297207,1.170220965,2.245565072,11.70147335
51_03:486728,93.66168551,88.73197633,79.04258575,3.509059659,85.90128712,83.06600982,17.06818623,2.249198318,0.357767015,209.8127219,1.284873102,2.763210265,8.732128374
51_04a:486729,99.86154526,90.51129638,78.3578146,3.614193447,91.918251,92.01734835,12.20958919,2.17701387,0.247080165,244.4157868,1.208341484,3.025159095,10.06851485
51_05:486730,105.0862259,94.25383582,79.23720638,5.202543799,91.63719109,88.41968469,NA,NA,NA,243.6421305,1.313373665,3.348739642,8.268948655
51_06:486731,98.79309702,89.45241517,78.80977476,2.392790851,91.71166411,84.71899594,20.45326279,2.141342846,0.421774994,189.0329644,1.1152,1.933365154,7.330751183
52_03:486733,93.46367106,89.90542721,78.33451662,2.730329737,80.7476886,80.2285777,20.31584107,2.121628179,0.402741853,202.144923,1.231636223,2.512506398,11.59900125
52_06:486735,99.99045599,91.98229235,78.89122701,3.791021253,88.38418164,82.06301427,11.89205648,2.386664131,0.25610601,243.8385615,1.209606153,2.923440247,5.055931424
53_01:486736,93.0273894,82.379657,75.44036589,3.59867684,91.77241717,88.12968371,9.359040253,2.166408378,0.199333817,219.0257975,1.182556336,2.713312867,13.8388033
53_02:486737,95.13328691,88.08083997,79.6580278,2.188880486,80.85596366,74.16495386,8.786132608,2.217710128,0.184293217,167.560029,1.242467054,2.036654469,10.76797464
53_03:486738,98.92244539,94.43295119,78.32114043,3.879910918,98.89773097,91.87051004,NA,NA,NA,277.3560376,1.27637708,3.823697515,5.575863085
53_04:486739,92.42013506,87.23724312,79.95202413,1.854059481,77.71400097,74.66842338,12.63861424,2.156041781,0.267802877,201.2164889,1.240035026,2.50034552,12.07543367
53_06:486740,102.2984287,91.97704598,78.16212337,4.081760622,96.52172753,85.36847805,8.415374144,2.413265354,0.181700017,233.7858359,1.203549839,2.823814049,6.039042805
54_01:486742,97.84413818,92.71830321,79.47485916,2.713916707,89.26778446,84.30342623,11.53925522,2.313715525,0.248380704,219.8197169,1.225179987,2.769286788,9.820033776
54_02:486743,97.9552573,84.40404281,78.29828646,2.152492651,85.90788394,82.14392025,19.38941605,2.175809361,0.403765589,203.5073024,1.201963085,2.422595044,9.820033776
54_04:486744,95.87891849,87.40860043,78.5360564,2.979940433,85.61000607,81.10179544,13.24223252,2.362813936,0.27903101,229.5047088,1.242731299,2.947093052,12.86868027
54_05:486745,105.5206291,90.05793208,79.9909161,3.192164014,88.44664124,82.91445041,10.27652098,2.281649457,0.217345794,203.632975,1.30620556,2.644783336,2.382265718
55_01:486747,96.96456429,89.03105109,78.36561696,2.684460637,87.90465969,83.72262644,11.47382175,2.147241348,0.235795745,228.5385298,1.123135705,2.540419446,10.39212928
55_02:486748,99.51392723,87.27771655,78.65471133,3.064991934,91.77941825,84.46340224,11.38384773,2.302437913,0.234740849,233.6774101,1.266769696,3.074740345,6.968279831
55_04:486749,95.67111036,85.00939608,77.02255328,4.012934245,87.86839767,81.83134918,19.39167452,2.247560056,0.421020282,234.7935895,1.133981618,2.568834,10.49425922
55_05:486750,96.40941537,88.68853433,78.75719168,2.812960804,83.05425428,76.59181538,17.41968191,2.115705164,0.346534353,196.5006578,1.192409176,2.284367458,6.973862927
55_06:486751,104.6107869,93.32661441,80.78941751,3.060770701,88.41951774,84.38140204,NA,NA,NA,179.7645103,1.314744441,2.271208332,10.91162455
56_01:486752,99.18052535,92.62569561,78.09079651,3.014868271,92.50644445,85.57932149,11.0449966,2.165826833,0.225004447,247.4370563,1.265395886,3.330416726,9.559594937
56_03:486753,102.1266887,96.8667474,81.26335282,4.330759672,100.0154605,95.39408645,11.51128492,2.20022703,0.234585691,255.0001453,1.16224824,3.056855615,9.070296694
56_04:486754,95.58440185,86.75151266,78.9568331,2.166400336,85.30665763,79.57125142,12.79948998,2.151389943,0.260424926,183.0949079,1.328211732,2.442346947,11.31219259
56_05:486755,96.88571135,87.63305183,77.8756118,4.045483319,89.28200602,82.3138073,14.57959303,2.196988763,0.306238505,244.3209119,1.219150542,3.074331455,6.970261336
56_06:486756,101.3548941,92.07325757,79.42287792,2.790746885,80.89954921,76.60991075,14.29132138,2.166272973,0.296064833,207.279942,1.136351002,2.24470341,7.815839039
57_01:486757,99.29343988,93.09146088,80.90565245,3.29466205,81.7674743,79.70046576,9.589058634,2.145220284,0.202550497,186.8420036,1.18524209,2.176582012,13.07419922
57_03a:486758,94.38498175,86.35747103,78.41662261,2.255713852,90.47600808,84.84929713,NA,NA,NA,201.8734112,1.247460298,2.404767111,7.703399901
57_04:486759,96.63098012,92.00155698,78.9525802,3.716785401,79.36754536,76.01468854,7.508953025,2.325681406,0.204308657,176.2676672,1.352662959,2.311154421,11.32160157
57_05:486760,102.7314743,91.53146691,79.98812687,3.84236113,79.63458726,76.51341952,16.15834319,2.308114752,0.356149092,221.3748374,1.157283342,2.461041463,10.43012738
57_06:486761,98.3828063,89.88516319,79.90535009,4.059078936,98.12520209,87.90093912,NA,NA,NA,220.6104066,1.270811631,2.761522197,10.48553403
58_01:486762,94.49361341,87.89400372,79.13963196,2.911962857,89.80884204,86.30047142,11.52464871,2.326898489,0.238221294,188.493775,1.216249646,2.356731421,9.978058416
58_03:486763,103.4507866,92.11178539,80.15547277,2.266890555,92.22634456,88.85567623,10.698154,2.173754937,0.223043345,209.2005939,1.293627791,2.710111193,7.770799889
58_04:486764,97.04411601,91.75565918,78.90050391,2.348581928,92.55704103,86.73814075,12.39693601,2.144346964,0.253924691,207.3792558,1.231723345,2.583133098,12.95269819
58_05:486765,100.0026695,90.91142479,80.54847983,2.992204406,86.00070028,80.96968875,10.80566422,2.133461383,0.221578131,210.9574843,1.206850515,2.481843656,6.027686777
58_06a:486766,93.29317564,85.67657499,78.26131358,3.363460158,83.42890375,80.88630679,10.33496166,2.240701875,0.216549598,205.1834955,1.254956028,2.584544538,8.681721285
59_01:486767,96.37955838,88.41020703,79.5136227,2.766245536,83.14823058,80.55385869,15.08880456,2.317158776,0.330018958,215.4103248,1.268554942,2.937051734,8.644602891
59_03:486768,96.27548881,89.08152228,79.05848731,2.688775396,91.93726409,85.30473285,9.232229849,2.249767229,0.191968739,191.6279429,1.348090248,2.561761933,13.97829052
59_04:486769,94.67293131,87.08703322,78.65473824,2.123130106,95.77715039,95.42314097,9.201201545,2.392977477,0.191794669,199.7813053,1.100992383,2.074292789,8.28234814
59_05:486770,93.81295164,87.65000983,78.55769287,3.528800864,85.21746306,80.38625367,9.356343064,2.54414385,0.195903331,195.3746206,1.216848511,2.272751252,10.47309521
59_06:486771,94.14186365,87.7126903,78.41707718,4.110592776,92.43142084,88.53435859,11.29452321,2.212125717,0.235332668,254.4041878,1.203889224,3.001656592,8.291832681
6_01:486510,94.95553813,92.46260464,80.43472522,2.419488695,92.09610213,89.37596476,12.35976532,2.097930414,0.245589191,201.2787184,1.223495072,2.426222071,14.01447179
6_04:486513,113.4196716,95.37423322,82.18782851,3.358162563,85.47117874,83.55700093,19.8381283,2.126851277,0.413334612,209.716767,1.185091447,2.356397851,6.437089845
6_05a:486514,102.8717865,93.01815915,81.61437229,4.768054554,99.3907666,92.54738615,11.09981293,2.143774745,0.232675161,235.4854888,1.185400066,2.830102159,6.437089845
60_01:486772,93.11065076,84.0980336,77.64327583,3.62099487,92.26276995,88.9333233,11.90579186,2.31201969,0.243661401,205.0082238,1.312124161,2.84090115,13.40728291
60_02:486773,102.2000407,94.40348009,81.63026561,3.06369641,80.13990564,76.84262821,13.75025925,2.142386236,0.279373476,178.4793714,1.246454948,2.125982786,11.65846802
60_04:486774,98.08090554,87.85787378,79.82244369,4.889901951,82.46536156,73.22300207,11.86836226,2.477282625,0.263425738,270.4016921,1.177204781,3.187931425,4.271826632
60_05:486775,99.97241087,92.56464255,79.37757457,2.878582418,85.45462156,80.95848237,11.77083083,2.200133795,0.239956402,173.991253,1.262281482,2.092932832,9.987216216
60_06:486776,96.2659138,89.51045237,79.97141142,1.724403483,80.66317099,80.55618331,17.74845871,2.197063084,0.373377908,178.3235014,1.308990498,2.277885754,11.19114722
61_01:486777,93.1818008,87.46919476,78.44623043,3.928213448,84.6382664,79.68002262,11.76791664,2.254585098,0.241523679,192.5241467,1.177606375,2.253794124,11.37914871
61_02a:486778,100.4705017,90.00299031,78.69721726,7.018385955,105.1533742,98.59445345,11.5879686,2.333987991,0.237578541,263.3114119,1.191771936,3.323022653,4.614888758
7_01a:486515,NA,NA,NA,3.333634151,85.13368293,85.03324777,10.57206999,2.285980102,0.225610881,189.1264634,1.255293302,2.394083359,8.403800697
7_02a:486516,NA,NA,NA,6.503887428,91.59485349,85.12806743,NA,NA,NA,183.6277071,1.369837726,2.449266427,9.183633314
7_03:486517,97.24633778,91.97179087,79.15714553,2.982587705,89.23550054,89.22324222,NA,NA,NA,216.4033888,1.231786335,2.641192896,13.03279808
7_04:486518,NA,88.18314528,77.64309132,2.105689175,80.29082368,76.94496191,30.33544985,2.029414848,0.573284805,199.8792661,1.146662739,2.271324635,11.83333359
7_06:486520,NA,92.27286736,79.61249228,2.33559599,80.76469954,77.37088306,24.41057864,2.134888851,0.504109351,181.5217764,1.220790368,2.115908368,9.254025623
8_01:486521,101.1638476,89.67085557,78.55737106,4.342904731,88.55153123,84.74599043,14.11257534,2.325394344,0.310539165,193.0777127,1.332328961,2.653390196,6.140400878
8_02:486522,91.52576314,84.80268563,77.49323433,3.940648193,85.96084618,83.73160157,21.75081335,2.059402308,0.418356574,202.0904031,1.225675372,2.427376701,10.48273881
8_03:486523,96.73527337,87.25751072,78.1316539,1.995610024,80.08888992,73.83738715,56.65958418,2.058185225,1.032565791,203.1668564,1.180535019,2.306934801,8.760572173
8_04:486524,101.4838166,93.10794184,81.63800095,2.092987272,85.19163072,79.86155771,22.14985649,2.063815511,0.427178956,193.5015965,1.212759197,2.290874792,11.83634325
8_05:486525,99.39938341,91.65310876,79.55753489,2.162956775,96.25917502,92.48310965,NA,NA,NA,201.7265525,1.228932385,2.483172161,12.65412078
8_06:486526,94.84903986,86.19150603,77.23588702,3.571287531,85.60440444,83.16910346,22.71646105,2.044015471,0.443875283,200.1707133,1.145119787,2.131352747,13.44840551
9_01:486527,102.2875092,90.19835557,81.14108262,2.540807767,88.53152377,83.00356012,24.88374088,1.986201928,0.424962564,224.1188658,1.21761964,2.69166872,12.63039901
9_03a:486528,NA,NA,78.13188519,3.554039581,88.38723776,82.40306427,NA,NA,NA,226.7263137,1.292656722,2.954965335,3.622926003
9_04:486529,99.80158208,88.32134727,78.84949204,3.699139547,91.8514896,84.6154317,9.04889246,2.322876015,0.195614331,217.7754006,1.217707512,2.716291341,6.551226922
9_05:486530,101.1521967,92.32810756,79.95974619,3.528576407,85.17162326,80.93771871,10.30043816,2.084327468,0.218292924,199.1324799,1.211860293,2.260922078,10.87780135
9_06:486531,98.21684557,89.58764251,78.78207243,4.209697591,84.36088338,80.13864188,NA,2.254887848,NA,267.5236668,1.177674501,3.024632049,9.174999807
B01:486779,95.43364351,92.17779029,80.61863783,2.928280278,80.58751218,73.90510706,11.13621644,2.054376877,0.229190044,216.2951177,1.208244394,2.54662517,14.13422006
B07:486780,96.68150093,89.84258057,79.11971384,2.705100379,96.00962543,96.50544792,11.11718638,2.116655667,0.228110418,173.7439408,1.102003851,1.763545627,13.0038871
B12:486781,103.9715908,84.7816223,78.68058431,2.601052523,88.64576148,85.78785508,30.79908926,2.045173774,0.592758762,226.3303251,1.112392856,2.288270636,11.99072531
B25:486782,NA,87.22202988,80.38095072,2.621404378,82.68347201,79.95560534,33.72840415,2.187811571,0.677777125,207.8594563,1.293616017,2.561132197,6.410432352
B26:486783,96.41954911,88.86737748,81.74702934,2.886535167,95.75046506,96.07291855,NA,NA,NA,168.5885448,1.371414498,2.094470269,10.59426296
B28:486784,94.65533072,86.42727871,78.16322129,1.82469937,82.76031563,80.23850133,13.11591309,2.14881477,0.264247851,179.1266173,1.295589034,2.229331029,12.52648898
B30:486785,NA,88.16380756,78.07280215,2.750448994,84.43055467,79.15005251,14.63997034,2.14146707,0.303719559,202.7518416,1.109358904,2.136340616,13.06205343
B46:486786,98.64660145,88.43921129,80.37764656,3.82351239,85.32858313,80.11617652,22.16634546,2.139048181,0.451453799,227.8734495,1.111716462,2.309289664,12.55741199
B50:486787,NA,86.66268421,80.17307879,3.182828434,82.68347201,80.28679942,9.153987642,2.120184509,0.189662583,185.1944744,1.172339162,2.022779515,9.91562766
D93:486788,93.94434111,86.45735422,79.60071047,2.014124209,85.86733361,83.18687531,15.24038037,2.056575606,0.292864557,189.9295874,1.094143922,1.905373529,14.32770199
