DT,value
61_01:486777,79.68002262
61_02a:486778,98.59445345
7_01a:486515,85.03324777
7_02a:486516,85.12806743
7_03:486517,89.22324222
7_04:486518,76.94496191
7_06:486520,77.37088306
8_01:486521,84.74599043
8_02:486522,83.73160157
8_03:486523,73.83738715
8_04:486524,79.86155771
8_05:486525,92.48310965
8_06:486526,83.16910346
9_01:486527,83.00356012
9_03a:486528,82.40306427
9_04:486529,84.6154317
9_05:486530,80.93771871
9_06:486531,80.13864188
B01:486779,73.90510706
B07:486780,96.50544792
B12:486781,85.78785508
B25:486782,79.95560534
B26:486783,96.07291855
B28:486784,80.23850133
B30:486785,79.15005251
B46:486786,80.11617652
B50:486787,80.28679942
D93:486788,83.18687531
