DPS,value
55_05:486750,83.05425428
55_06:486751,88.41951774
56_01:486752,92.50644445
56_03:486753,100.0154605
56_04:486754,85.30665763
56_05:486755,89.28200602
56_06:486756,80.89954921
57_01:486757,81.7674743
57_03a:486758,90.47600808
57_04:486759,79.36754536
57_05:486760,79.63458726
57_06:486761,98.12520209
58_01:486762,89.80884204
58_03:486763,92.22634456
58_04:486764,92.55704103
58_05:486765,86.00070028
58_06a:486766,83.42890375
59_01:486767,83.14823058
59_03:486768,91.93726409
59_04:486769,95.77715039
59_05:486770,85.21746306
59_06:486771,92.43142084
6_01:486510,92.09610213
6_04:486513,85.47117874
6_05a:486514,99.3907666
60_01:486772,92.26276995
60_02:486773,80.13990564
60_04:486774,82.46536156
60_05:486775,85.45462156
60_06:486776,80.66317099
61_01:486777,84.6382664
61_02a:486778,105.1533742
7_01a:486515,85.13368293
7_02a:486516,91.59485349
7_03:486517,89.23550054
7_04:486518,80.29082368
7_06:486520,80.76469954
8_01:486521,88.55153123
8_02:486522,85.96084618
8_03:486523,80.08888992
8_04:486524,85.19163072
8_05:486525,96.25917502
8_06:486526,85.60440444
9_01:486527,88.53152377
9_03a:486528,88.38723776
9_04:486529,91.8514896
9_05:486530,85.17162326
9_06:486531,84.36088338
B01:486779,80.58751218
B07:486780,96.00962543
B12:486781,88.64576148
B25:486782,82.68347201
B26:486783,95.75046506
B28:486784,82.76031563
B30:486785,84.43055467
B46:486786,85.32858313
B50:486787,82.68347201
D93:486788,85.86733361
