"","value"
"10_01:486532",83.0259993443387
"10_02:486533",84.7778832337509
"10_03a:486534",88.195874638603
"10_05:486536",88.2760806105226
"11_02:486538",90.3016898430816
"11_04:486540",89.9883641659566
"11_05:486541",90.7366795583769
"11_06:486542",89.4511868623585
"12_01:486543",84.8153915071121
"12_04:486544",88.0845691557353
"12_05:486545",88.6792417541931
"12_06:486546",91.7741786636977
"13_01:486547",91.0492997826044
"13_03:486549",91.8351989951367
"13_04:486550",91.86332147972
"13_05:486551",94.5468007784578
"13_06:486552",95.862637458581
"14_01:486553",83.9025699869743
"14_02:486554",93.5490399419992
"14_03:486555",94.7943390979745
"14_04:486556",90.8648000757589
"14_06:486558",87.7470000405629
"15_01a:486559",94.8179511192234
"15_03:486560",86.8743455103141
"15_04:486561",85.8585668825817
"15_05:486562",88.2637952964318
"15_06:486563",90.8167209041771
"16_02:486564",90.9105081702911
"16_03a:486565",84.4091411053619
"16_04:486566",89.8314893609032
"16_05:486567",93.8616827912356
"17_01:486568",90.5233011316638
"17_02:486569",89.786389647393
"17_05a:486570",91.3405096271597
"18_01:486571",95.6012932466704
"18_02a:486572",87.1525771576613
"18_03a:486573",90.8323057688669
"18_04:486574",93.8113387084591
"18_05:486575",85.8658655515362
"19_05:486576",96.120751111402
"20_01:486578",92.7826703123353
"20_02a:486579",87.8704231513712
"20_03:486580",89.4761153946908
"20_04:486581",90.6920103469629
"20_06:486582",99.5327080014984
"21_05:486585",92.0123660242181
"22_01:486587",90.5894004299356
"22_02:486588",92.9771792281178
"22_04:486590",90.2962603304003
"22_06:486591",94.4760969266967
"23_01:486592",92.908591529238
"23_03:486593",89.4505290196553
"24_02a:486594",86.804295507494
"24_05:486596",90.2093343390228
"25_01a:486597",90.6772699245993
"25_02:486598",86.2910167195136
"25_03:486599",87.9137371258646
"25_04:486600",90.587806372336
"25_06:486601",88.7488974393854
"26_01a:486602",83.2260012941922
"26_02:486603",91.3719337291088
"26_04:486604",93.1197274545983
"26_05:486605",89.5701616164788
"26_06:486606",90.9505907052538
"27_01:486607",92.0265221035462
"27_02:486608",87.9582403901503
"27_04:486609",90.0688348203957
"27_06:486610",92.7903478070951
"28_01:486611",91.6620951245647
"28_02:486612",89.0724343381316
"28_03:486613",87.0544259399213
"28_04:486614",85.5534355559339
"28_05:486615",86.050504460976
"29_01:486616",94.8635415730029
"29_02a:486619",85.8992601407012
"29_03:486620",88.002351628928
"29_04:486621",90.4533930336863
"29_05:486617",88.2017463077891
"29_06:486618",84.2464049503859
"30_01a:486622",88.9317591711502
"30_02a:486623",91.1200865033605
"30_03:486624",92.3910106361845
"30_05:486625",91.5745051275796
"30_06:486626",85.9631513101526
"31_01:486627",88.8999286873159
"31_02:486628",91.5148560457326
"31_03:486629",89.1036758946691
"31_04:486630",92.0610151453859
"31_05:486631",87.3103749406853
"31_06a:486632",90.067095719812
"32_01:486633",85.3325034982068
"32_02:486634",89.2566199636698
"32_03a:486635",91.8429584492182
"32_04:486636",93.7294390596698
"33_01a:486637",90.888069559654
"33_02:486638",88.1538419706304
"33_05:486639",92.4451488923715
"33_06:486640",81.6281681702205
"34_02:486641",88.5851957466629
"34_03:486642",89.7050923519963
"34_05:486643",91.7854708243833
"34_06:486644",86.0250672865282
"35_01:486645",86.8624368585987
"35_02:486646",91.0007815683393
"35_03:486647",89.9035802481807
"35_04:486648",90.4554113486931
"36_01:486649",89.5676809555346
"36_02:486650",87.487055251972
"36_03:486651",92.6145232108175
"36_04:486652",86.0528717156483
"36_06:486654",88.6122033087457
"37_01:486655",89.3798211019881
"37_03:486656",94.068327445744
"37_04:486657",90.1042628073385
"37_05:486659",87.0481122127868
"37_06:486660",86.8193742283852
"38_01:486661",94.9997111297986
"38_02:486662",90.4156473741185
"38_03:486663",85.6682839320378
"38_04:486664",87.5216844742455
"38_05:486665",87.6710883472844
"38_06:486666",88.1610301053891
"39_02:486667",90.5299068263866
"39_03:486668",86.2281899509629
"39_04:486669",93.5232536772082
