PTNP,value
36_03:486651,1.254723654
36_04:486652,1.112957366
36_06:486654,1.165536141
37_01:486655,1.203913839
37_03:486656,1.26123071
37_04:486657,1.235206696
37_05:486659,1.200617164
37_06:486660,1.242867085
38_01:486661,1.1346424
38_02:486662,1.16327313
38_03:486663,1.155100482
38_04:486664,1.148158002
38_05:486665,1.27882944
38_06:486666,1.20928427
39_02:486667,1.171697171
39_03:486668,1.217679004
39_04:486669,1.288462083
39_05a:486670,1.320412641
39_06:486671,1.14929078
4_04:486501,1.107425135
4_05:486502,1.149605034
40_01:486672,1.288131848
40_03:486673,1.159697675
40_04:486674,1.116221024
40_06:486676,1.237390251
41_01:486677,1.201685556
41_02:486678,1.233882055
41_05:486679,1.257260405
41_06:486680,1.179909031
42_01:486681,1.022162183
42_02a:486682,1.222600628
42_03:486683,0.957757108
42_05a:486684,1.273367505
42_06a:486685,1.272800925
43_01:486686,1.185913084
43_02:486687,1.210673404
43_03:486688,1.226203152
43_05:486689,1.151456436
43_06:486690,1.241873743
44_01:486691,1.163251753
44_02:486692,1.132399094
44_03:486693,1.134825456
44_04:486694,1.274225212
44_05:486695,1.179658476
45_01:486696,1.219019441
45_02:486697,1.170483967
45_03:486698,1.21848721
45_06:486700,1.274874135
46_02:486701,1.23485917
46_03:486702,1.050910631
46_04:486703,1.067445134
46_05:486704,1.22804899
46_06:486705,1.367102208
47_02:486706,1.163846481
47_03:486707,1.185651635
47_04:486708,1.14904212
47_05:486709,1.157325368
48_01:486710,1.252600165
48_02:486711,1.124082636
48_03:486712,1.229650774
48_04:486713,1.158840886
48_05:486714,1.078172073
48_06:486715,1.314222315
49_01:486716,1.142462665
49_02:486717,1.183742794
49_03:486718,1.202424485
49_04:486719,1.215200235
49_05a:486720,1.24340208
49_06:486721,1.175765962
5_01:486503,1.268835899
5_02:486504,1.269645094
5_03:486505,1.25648381
5_04a:486506,1.223970744
5_05:486508,1.082176169
5_06:486509,1.287173639
50_01:486722,1.267018604
50_02:486723,1.216193049
50_03:486724,1.199405955
50_04:486725,1.212346805
50_06:486726,1.16448188
51_01:486727,1.170220965
51_03:486728,1.284873102
51_04a:486729,1.208341484
51_05:486730,1.313373665
51_06:486731,1.1152
52_03:486733,1.231636223
52_06:486735,1.209606153
53_01:486736,1.182556336
53_02:486737,1.242467054
53_03:486738,1.27637708
53_04:486739,1.240035026
53_06:486740,1.203549839
54_01:486742,1.225179987
54_02:486743,1.201963085
