GDM,value
49_02:486717,11.22858488
49_04:486719,14.77831469
49_06:486721,14.14664674
5_01:486503,9.071751621
5_02:486504,17.04590281
5_03:486505,12.17871563
5_04a:486506,14.1819856
5_05:486508,28.00938532
5_06:486509,10.86106153
50_01:486722,11.26463425
50_02:486723,14.70936817
50_03:486724,18.21835493
50_04:486725,14.57440714
50_06:486726,10.94907321
51_03:486728,17.06818623
51_04a:486729,12.20958919
51_06:486731,20.45326279
52_03:486733,20.31584107
52_06:486735,11.89205648
53_01:486736,9.359040253
53_02:486737,8.786132608
53_04:486739,12.63861424
53_06:486740,8.415374144
54_01:486742,11.53925522
54_02:486743,19.38941605
54_04:486744,13.24223252
54_05:486745,10.27652098
55_01:486747,11.47382175
55_02:486748,11.38384773
55_04:486749,19.39167452
55_05:486750,17.41968191
56_01:486752,11.0449966
56_03:486753,11.51128492
56_04:486754,12.79948998
56_05:486755,14.57959303
56_06:486756,14.29132138
57_01:486757,9.589058634
57_04:486759,7.508953025
57_05:486760,16.15834319
58_01:486762,11.52464871
58_03:486763,10.698154
58_04:486764,12.39693601
58_05:486765,10.80566422
58_06a:486766,10.33496166
59_01:486767,15.08880456
59_03:486768,9.232229849
59_04:486769,9.201201545
59_05:486770,9.356343064
59_06:486771,11.29452321
6_01:486510,12.35976532
6_04:486513,19.8381283
6_05a:486514,11.09981293
60_01:486772,11.90579186
60_02:486773,13.75025925
60_04:486774,11.86836226
60_05:486775,11.77083083
60_06:486776,17.74845871
61_01:486777,11.76791664
61_02a:486778,11.5879686
7_01a:486515,10.57206999
7_04:486518,30.33544985
7_06:486520,24.41057864
8_01:486521,14.11257534
8_02:486522,21.75081335
8_03:486523,56.65958418
8_04:486524,22.14985649
8_06:486526,22.71646105
9_01:486527,24.88374088
9_04:486529,9.04889246
9_05:486530,10.30043816
B01:486779,11.13621644
B07:486780,11.11718638
B12:486781,30.79908926
B25:486782,33.72840415
B28:486784,13.11591309
B30:486785,14.63997034
B46:486786,22.16634546
B50:486787,9.153987642
D93:486788,15.24038037
