"","value"
"10_01:486532",216.500966001168
"10_02:486533",201.609964034312
"10_03a:486534",236.2528150465
"10_05:486536",198.829868619026
"11_01:486537",209.218594032614
"11_02:486538",238.791311424187
"11_03a:486539",199.287465928159
"11_04:486540",203.105747510637
"11_05:486541",202.902238510245
"11_06:486542",247.943203659225
"12_01:486543",220.93553452005
"12_04:486544",200.34195598051
"12_05:486545",204.35101438022
"12_06:486546",202.227894965281
"13_01:486547",205.176511224861
"13_03:486549",220.536544511177
"13_04:486550",204.763876127126
"13_05:486551",192.642862558249
"13_06:486552",190.962819566622
"14_01:486553",209.540476885248
"14_02:486554",173.290115398674
"14_03:486555",180.280477415022
"14_04:486556",223.12042035431
"14_05:486557",206.723231959798
"14_06:486558",203.773754147383
"15_01a:486559",189.630916118247
"15_03:486560",239.169814537741
"15_04:486561",197.648834600572
"15_05:486562",207.979508981226
"15_06:486563",196.80162553216
"16_02:486564",241.97178497798
"16_03a:486565",192.475472023819
"16_04:486566",197.772888768947
"16_05:486567",207.626029126867
"17_01:486568",215.986200604119
"17_02:486569",240.59945211313
"17_05a:486570",167.075862011867
"18_01:486571",209.742148438305
"18_02a:486572",209.811843989001
"18_03a:486573",190.735417889988
"18_04:486574",174.61143211018
"18_05:486575",227.614961263213
"19_05:486576",224.201203642845
"19_06:486577",191.749792821391
"20_01:486578",164.575387227677
"20_02a:486579",219.764314563573
"20_03:486580",217.032805952712
"20_04:486581",203.910324125211
"20_06:486582",205.664021604115
"21_02a:486583",190.906570214005
"21_04:486584",223.462261185502
"21_05:486585",186.302412884072
"22_01:486587",175.133458815705
"22_02:486588",238.84692760576
"22_03:486589",146.87590524909
"22_04:486590",243.101975631616
"22_06:486591",246.823472242299
"23_01:486592",211.361749659443
"23_03:486593",372.51036948318
"24_02a:486594",291.260005790166
"24_04:486595",197.728195467676
"24_05:486596",183.756093682384
"25_01a:486597",221.425397952812
"25_02:486598",206.065558005844
"25_03:486599",210.722343110436
"25_04:486600",227.692755470468
"25_06:486601",198.150813361242
"26_01a:486602",220.567132373666
"26_02:486603",208.382208763237
"26_04:486604",225.132200883906
"26_05:486605",173.918146325989
"26_06:486606",205.289488445754
"27_01:486607",203.070998072931
"27_02:486608",188.390404052707
"27_04:486609",203.783125868962
"27_06:486610",234.586819547851
"28_01:486611",213.431707820494
"28_02:486612",208.223354369592
"28_03:486613",189.149885785734
"28_04:486614",181.95022446403
"28_05:486615",200.370985636769
"29_01:486616",210.210483391918
"29_02a:486619",208.563142237018
"29_03:486620",202.666551661007
"29_04:486621",198.898667719883
"29_05:486617",203.018050112186
"29_06:486618",200.793344453937
"30_01a:486622",280.396095731251
"30_02a:486623",221.392809380619
