15NT1,value
10_01:486532,92.54158269
10_02:486533,89.44449875
10_03a:486534,96.73566474
10_05:486536,101.4421038
11_04:486540,96.69191762
11_05:486541,96.54573425
12_01:486543,94.79534426
12_04:486544,95.79861166
12_05:486545,98.99660719
12_06:486546,103.683029
13_01:486547,101.1734901
13_03:486549,96.04022876
13_04:486550,99.60472525
13_05:486551,106.3459794
13_06:486552,108.4483075
14_01:486553,91.37124509
14_02:486554,98.22692829
14_03:486555,103.2085325
14_04:486556,96.83242736
14_05:486557,79.74113988
14_06:486558,94.40571894
15_01a:486559,102.4795973
15_03:486560,93.94544218
15_04:486561,96.21935953
15_05:486562,96.27192623
15_06:486563,101.131392
16_02:486564,99.22073031
16_03a:486565,93.12448475
16_04:486566,102.2667455
16_05:486567,100.7024791
17_01:486568,104.846121
17_05a:486570,99.71121493
18_01:486571,100.1659631
18_02a:486572,94.309089
18_03a:486573,96.38428298
18_04:486574,99.14049531
18_05:486575,94.2237671
19_05:486576,107.3728966
20_01:486578,104.2359617
20_02a:486579,90.74806046
20_03:486580,101.7136312
20_04:486581,105.9039064
20_06:486582,102.1902294
21_05:486585,99.50923013
22_01:486587,87.96741987
22_02:486588,111.6550271
22_03:486589,96.3703979
22_04:486590,104.5782314
22_06:486591,102.1177958
23_01:486592,107.241115
23_03:486593,91.86040373
24_04:486595,93.94828539
25_01a:486597,95.53079054
25_02:486598,93.59841125
25_03:486599,97.24223192
25_04:486600,98.46971438
25_06:486601,98.43442546
26_01a:486602,91.36975631
26_02:486603,98.77120872
26_04:486604,104.0041082
26_05:486605,94.40098618
26_06:486606,97.60331209
27_01:486607,100.3800497
27_02:486608,94.52719982
27_04:486609,91.85670909
27_06:486610,103.7371144
28_01:486611,99.57202768
28_02:486612,96.03903209
28_03:486613,92.48566311
28_04:486614,92.00409077
28_05:486615,93.60336433
29_01:486616,105.3322911
29_02a:486619,105.1663847
29_03:486620,90.9555925
29_04:486621,98.78828316
29_05:486617,94.59163329
29_06:486618,90.74015226
30_01a:486622,94.2521253
30_02a:486623,93.8152344
30_03:486624,105.5044821
30_05:486625,95.88362776
30_06:486626,90.61993236
31_01:486627,99.82948454
31_02:486628,100.5891943
31_03:486629,101.2866393
31_04:486630,98.27063284
31_05:486631,96.20027125
31_06a:486632,97.96203157
32_01:486633,95.42614626
32_02:486634,94.97168968
32_03a:486635,100.9449425
32_04:486636,103.5435904
33_01a:486637,94.70155639
33_02:486638,91.69861192
33_05:486639,99.32352297
33_06:486640,90.11822568
34_02:486641,94.60208933
34_03:486642,96.40966126
34_05:486643,101.5903424
34_06:486644,93.11428714
35_01:486645,94.67686404
35_02:486646,100.229477
35_03:486647,100.3765107
35_04:486648,98.89132347
36_01:486649,94.36305271
36_02:486650,93.75530719
36_03:486651,102.0254711
36_04:486652,91.47802368
36_05:486653,95.88262255
36_06:486654,99.91662857
37_01:486655,94.95771673
37_03:486656,97.92501718
37_04:486657,93.56427797
37_05:486659,92.11291408
37_06:486660,98.45542016
38_01:486661,100.8702785
38_02:486662,98.2182486
38_03:486663,93.41398099
38_04:486664,93.73834569
38_05:486665,94.32054146
38_06:486666,96.27967756
39_02:486667,96.88957662
39_03:486668,92.65974908
39_04:486669,98.17524997
39_05a:486670,96.80406194
39_06:486671,92.33925594
4_04:486501,93.82209161
4_05:486502,104.5817504
40_01:486672,92.50415965
40_03:486673,97.42227065
40_04:486674,98.85513826
40_05a:486675,92.50219987
40_06:486676,95.16156073
41_01:486677,105.1281139
41_02:486678,99.30076475
41_05:486679,96.76211737
41_06:486680,101.9779385
42_01:486681,95.87989834
42_02a:486682,110.1441936
42_03:486683,93.37182243
42_05a:486684,103.1268074
42_06a:486685,91.16399251
43_01:486686,101.5708581
43_02:486687,104.9572447
43_03:486688,97.14478178
43_05:486689,99.27596036
43_06:486690,91.47947822
44_01:486691,98.1435852
44_02:486692,101.704473
44_05:486695,99.01028743
45_01:486696,93.17891119
45_02:486697,94.19676611
45_03:486698,92.22871464
45_06:486700,91.59071426
46_02:486701,94.17276516
46_04:486703,94.69271524
46_05:486704,98.04054749
46_06:486705,97.71700762
47_02:486706,94.44331417
47_04:486708,97.0349025
47_05:486709,98.31116115
48_01:486710,105.4640281
48_02:486711,98.46060851
48_03:486712,98.96411533
48_04:486713,101.5314915
48_05:486714,94.1307755
48_06:486715,97.22649625
49_02:486717,103.6762081
49_03:486718,104.413815
49_04:486719,97.38066137
49_06:486721,96.59779343
5_02:486504,101.6970333
5_03:486505,100.1734995
5_04a:486506,97.2535865
50_01:486722,99.8430354
50_02:486723,92.9030688
50_03:486724,93.82568879
50_04:486725,95.65416088
50_06:486726,95.41729732
51_01:486727,91.70991421
51_03:486728,94.06363808
51_04a:486729,100.6792767
51_05:486730,106.7062098
51_06:486731,99.18848181
52_03:486733,94.93468493
52_06:486735,100.8994424
53_01:486736,92.84141342
53_02:486737,94.4193901
53_03:486738,99.37710935
53_04:486739,92.78435225
53_06:486740,101.1634054
54_01:486742,97.53638154
54_02:486743,97.89462935
54_04:486744,95.65395118
54_05:486745,105.2485093
54_06:486746,96.32719236
55_01:486747,96.89578301
55_02:486748,99.16825982
55_04:486749,95.9294
55_05:486750,96.03984889
55_06:486751,104.3944911
56_01:486752,98.27151812
56_03:486753,101.2260263
56_04:486754,95.75109263
56_05:486755,97.08767512
56_06:486756,101.2170063
57_01:486757,99.90348307
57_03a:486758,94.19022419
57_04:486759,98.13632294
57_05:486760,103.4905804
57_06:486761,99.48810978
58_01:486762,94.45136918
58_03:486763,102.5539527
58_04:486764,96.57153369
58_05:486765,100.1835181
58_06a:486766,93.10560568
59_01:486767,95.92636526
59_03:486768,95.81446245
59_04:486769,95.21120587
59_05:486770,94.02196764
59_06:486771,95.02693948
6_01:486510,95.69794441
6_02:486511,98.48322984
6_03:486512,87.10397582
6_04:486513,112.7428097
6_05a:486514,102.9842708
60_01:486772,91.32583538
60_02:486773,100.3717844
